"","지점번호","지점명(한글)","예보구역코드","법정동코드"
"1",90,"속초","11D20401",4282033035
"2",92,"양양(공)","11D20400",4283032021
"3",95,"철원","11D10101",4278025624
"4",96,"독도","11E00102",4794025027
"5",98,"동두천","11B20401",4125010300
"6",99,"파주","11B20305",4148025025
"7",100,"대관령","11D20201",4276037025
"8",101,"춘천","11D10301",4211011800
"9",102,"백령","11A00101",2872033024
"10",104,"북강릉","11D20501",4215036027
"11",105,"강릉","11D20501",4215010700
"12",106,"동해","11D20601",4217010400
"13",108,"서울","11B10101",1111017800
"14",110,"김포(공)","11B10100",1150010800
"15",112,"인천","11B20201",2811013700
"16",113,"인천(공)","11B20200",2811014700
"17",114,"원주","11D10401",4213010600
"18",115,"울릉도","11E00101",4794025024
"19",116,"관악(레)","11B10100",4129010700
"20",119,"수원","11B20601",4111310800
"21",121,"영월","11D10501",4275025022
"22",127,"충주","11C10101",4313012200
"23",129,"서산","11C20101",4421010600
"24",130,"울진","11H10101",4793025023
"25",131,"청주","11C10301",4311311400
"26",133,"대전","11C20401",3020012400
"27",135,"추풍령","11C10401",4374033521
"28",136,"안동","11H10501",4717012900
"29",137,"상주","11H10302",4725011000
"30",138,"포항","11H10201",4711110400
"31",140,"군산","21F10501",4513013800
"32",143,"대구","11H10700",2714010300
"33",146,"전주","11F10201",4511310600
"34",151,"울산(공)","11H20100",3120012600
"35",152,"울산","11H20101",3111011400
"36",155,"창원","11H20301",4812552000
"37",156,"광주","11F20501",2917010900
"38",159,"부산","11H20201",2611011600
"39",160,"부산(레)","11H20200",2614010600
"40",162,"통영","11H20401",4822010900
"41",163,"무안(공)","21F20800",4684035023
"42",165,"목포","21F20801",4611010300
"43",167,"여수(공)","11F20400",4613032028
"44",168,"여수","11F20401",4613010500
"45",169,"흑산도","11F20701",4691036022
"46",170,"완도","11F20301",4689031022
"47",172,"고창","21F10601",4579038025
"48",174,"순천","11F20600",4615025025
"49",175,"진도(첨찰산)","21F20201",4690033021
"50",177,"홍성(예)","11C20104",4480031025
"51",182,"제주(공)","11G00200",4911010900
"52",184,"제주","11G00201",4911010700
"53",185,"고산","11G00501",4971031023
"54",188,"성산","11G00101",4972025927
"55",189,"서귀포","11G00401",4913010100
"56",192,"진주","11H20701",4817012600
"57",201,"강화","11B20101",2871032027
"58",202,"양평","11B20503",4183025021
"59",203,"이천","11B20701",4150025328
"60",211,"인제","11D10201",4281025022
"61",212,"홍천","11D10302",4272025029
"62",216,"태백","11D20301",4219010100
"63",217,"정선군","11D10502",4277025022
"64",221,"제천","11C10201",4315011200
"65",226,"보은","11C10302",4372025030
"66",229,"격렬","11C20100",4482533029
