yyyymmdd,area,sex,frequency,tot_person,num_risk_age
20120101,강원,1,3.0,772718.0,322636.0
20120101,강원,2,3.0,762617.0,229447.0
20120101,경기,1,4.0,6020446.0,2054584.0
20120101,경기,2,5.0,5928150.0,1182747.0
20120101,경남,1,2.0,1665308.0,622268.0
20120101,경남,2,1.0,1644251.0,430456.0
20120101,경북,1,6.0,1354649.0,565255.0
20120101,경북,2,1.0,1342455.0,427971.0
20120101,광주,1,0.0,726529.0,238253.0
20120101,광주,2,2.0,738784.0,153553.0
20120101,대구,1,1.0,1251881.0,464623.0
20120101,대구,2,0.0,1256489.0,303757.0
20120101,대전,1,4.0,759905.0,259136.0
20120101,대전,2,1.0,757394.0,156537.0
20120101,부산,1,3.0,1762043.0,725056.0
20120101,부산,2,6.0,1787458.0,492480.0
20120101,서울,1,2.0,5073567.0,1865874.0
20120101,서울,2,6.0,5176567.0,1215196.0
20120101,세종,1,0.0,52624.0,21840.0
20120101,세종,2,0.0,50503.0,16138.0
20120101,울산,1,0.0,584309.0,201978.0
20120101,울산,2,0.0,552155.0,103401.0
20120101,인천,1,1.0,1412355.0,504553.0
20120101,인천,2,1.0,1391932.0,287125.0
20120101,전남,1,3.0,956024.0,416592.0
20120101,전남,2,6.0,956701.0,336175.0
20120101,전북,1,2.0,933775.0,378668.0
20120101,전북,2,2.0,939716.0,288758.0
20120101,제주,1,0.0,288378.0,105887.0
20120101,제주,2,0.0,288129.0,74830.0
20120101,충남,1,0.0,1064012.0,417782.0
20120101,충남,2,1.0,1039117.0,304291.0
20120101,충북,1,4.0,788127.0,304928.0
20120101,충북,2,3.0,774896.0,210046.0
20120102,강원,1,2.0,772718.0,322636.0
20120102,강원,2,0.0,762617.0,229447.0
20120102,경기,1,2.0,6020446.0,2054584.0
20120102,경기,2,6.0,5928150.0,1182747.0
20120102,경남,1,3.0,1665308.0,622268.0
20120102,경남,2,1.0,1644251.0,430456.0
20120102,경북,1,4.0,1354649.0,565255.0
20120102,경북,2,4.0,1342455.0,427971.0
20120102,광주,1,0.0,726529.0,238253.0
20120102,광주,2,1.0,738784.0,153553.0
20120102,대구,1,3.0,1251881.0,464623.0
20120102,대구,2,1.0,1256489.0,303757.0
20120102,대전,1,1.0,759905.0,259136.0
20120102,대전,2,2.0,757394.0,156537.0
20120102,부산,1,4.0,1762043.0,725056.0
20120102,부산,2,3.0,1787458.0,492480.0
20120102,서울,1,3.0,5073567.0,1865874.0
20120102,서울,2,7.0,5176567.0,1215196.0
20120102,세종,1,0.0,52624.0,21840.0
20120102,세종,2,0.0,50503.0,16138.0
20120102,울산,1,1.0,584309.0,201978.0
20120102,울산,2,0.0,552155.0,103401.0
20120102,인천,1,0.0,1412355.0,504553.0
20120102,인천,2,4.0,1391932.0,287125.0
20120102,전남,1,2.0,956024.0,416592.0
20120102,전남,2,3.0,956701.0,336175.0
20120102,전북,1,2.0,933775.0,378668.0
20120102,전북,2,4.0,939716.0,288758.0
20120102,제주,1,0.0,288378.0,105887.0
20120102,제주,2,0.0,288129.0,74830.0
20120102,충남,1,1.0,1064012.0,417782.0
20120102,충남,2,0.0,1039117.0,304291.0
20120102,충북,1,1.0,788127.0,304928.0
20120102,충북,2,0.0,774896.0,210046.0
20120103,강원,1,0.0,772718.0,322636.0
20120103,강원,2,0.0,762617.0,229447.0
20120103,경기,1,7.0,6020446.0,2054584.0
20120103,경기,2,4.0,5928150.0,1182747.0
20120103,경남,1,4.0,1665308.0,622268.0
20120103,경남,2,3.0,1644251.0,430456.0
20120103,경북,1,2.0,1354649.0,565255.0
20120103,경북,2,1.0,1342455.0,427971.0
20120103,광주,1,1.0,726529.0,238253.0
20120103,광주,2,2.0,738784.0,153553.0
20120103,대구,1,1.0,1251881.0,464623.0
20120103,대구,2,1.0,1256489.0,303757.0
20120103,대전,1,1.0,759905.0,259136.0
20120103,대전,2,1.0,757394.0,156537.0
20120103,부산,1,1.0,1762043.0,725056.0
20120103,부산,2,3.0,1787458.0,492480.0
20120103,서울,1,2.0,5073567.0,1865874.0
20120103,서울,2,4.0,5176567.0,1215196.0
20120103,세종,1,2.0,52624.0,21840.0
20120103,세종,2,0.0,50503.0,16138.0
20120103,울산,1,0.0,584309.0,201978.0
20120103,울산,2,1.0,552155.0,103401.0
20120103,인천,1,1.0,1412355.0,504553.0
20120103,인천,2,0.0,1391932.0,287125.0
20120103,전남,1,2.0,956024.0,416592.0
20120103,전남,2,0.0,956701.0,336175.0
20120103,전북,1,0.0,933775.0,378668.0
20120103,전북,2,1.0,939716.0,288758.0
20120103,제주,1,0.0,288378.0,105887.0
20120103,제주,2,0.0,288129.0,74830.0
20120103,충남,1,1.0,1064012.0,417782.0
20120103,충남,2,2.0,1039117.0,304291.0
20120103,충북,1,1.0,788127.0,304928.0
20120103,충북,2,1.0,774896.0,210046.0
20120104,강원,1,1.0,772718.0,322636.0
20120104,강원,2,2.0,762617.0,229447.0
20120104,경기,1,4.0,6020446.0,2054584.0
20120104,경기,2,5.0,5928150.0,1182747.0
20120104,경남,1,2.0,1665308.0,622268.0
20120104,경남,2,1.0,1644251.0,430456.0
20120104,경북,1,3.0,1354649.0,565255.0
20120104,경북,2,3.0,1342455.0,427971.0
20120104,광주,1,1.0,726529.0,238253.0
20120104,광주,2,1.0,738784.0,153553.0
20120104,대구,1,3.0,1251881.0,464623.0
20120104,대구,2,0.0,1256489.0,303757.0
20120104,대전,1,1.0,759905.0,259136.0
20120104,대전,2,0.0,757394.0,156537.0
20120104,부산,1,3.0,1762043.0,725056.0
20120104,부산,2,1.0,1787458.0,492480.0
20120104,서울,1,3.0,5073567.0,1865874.0
20120104,서울,2,8.0,5176567.0,1215196.0
20120104,세종,1,0.0,52624.0,21840.0
20120104,세종,2,0.0,50503.0,16138.0
20120104,울산,1,0.0,584309.0,201978.0
20120104,울산,2,0.0,552155.0,103401.0
20120104,인천,1,1.0,1412355.0,504553.0
20120104,인천,2,1.0,1391932.0,287125.0
20120104,전남,1,1.0,956024.0,416592.0
20120104,전남,2,3.0,956701.0,336175.0
20120104,전북,1,0.0,933775.0,378668.0
20120104,전북,2,3.0,939716.0,288758.0
20120104,제주,1,0.0,288378.0,105887.0
20120104,제주,2,0.0,288129.0,74830.0
20120104,충남,1,0.0,1064012.0,417782.0
20120104,충남,2,0.0,1039117.0,304291.0
20120104,충북,1,0.0,788127.0,304928.0
20120104,충북,2,1.0,774896.0,210046.0
20120105,강원,1,2.0,772718.0,322636.0
20120105,강원,2,1.0,762617.0,229447.0
20120105,경기,1,12.0,6020446.0,2054584.0
20120105,경기,2,2.0,5928150.0,1182747.0
20120105,경남,1,3.0,1665308.0,622268.0
20120105,경남,2,0.0,1644251.0,430456.0
20120105,경북,1,1.0,1354649.0,565255.0
20120105,경북,2,2.0,1342455.0,427971.0
20120105,광주,1,0.0,726529.0,238253.0
20120105,광주,2,1.0,738784.0,153553.0
20120105,대구,1,2.0,1251881.0,464623.0
20120105,대구,2,1.0,1256489.0,303757.0
20120105,대전,1,0.0,759905.0,259136.0
20120105,대전,2,0.0,757394.0,156537.0
20120105,부산,1,5.0,1762043.0,725056.0
20120105,부산,2,2.0,1787458.0,492480.0
20120105,서울,1,9.0,5073567.0,1865874.0
20120105,서울,2,4.0,5176567.0,1215196.0
20120105,세종,1,0.0,52624.0,21840.0
20120105,세종,2,0.0,50503.0,16138.0
20120105,울산,1,1.0,584309.0,201978.0
20120105,울산,2,1.0,552155.0,103401.0
20120105,인천,1,1.0,1412355.0,504553.0
20120105,인천,2,1.0,1391932.0,287125.0
20120105,전남,1,6.0,956024.0,416592.0
20120105,전남,2,2.0,956701.0,336175.0
20120105,전북,1,0.0,933775.0,378668.0
20120105,전북,2,0.0,939716.0,288758.0
20120105,제주,1,0.0,288378.0,105887.0
20120105,제주,2,0.0,288129.0,74830.0
20120105,충남,1,1.0,1064012.0,417782.0
20120105,충남,2,0.0,1039117.0,304291.0
20120105,충북,1,1.0,788127.0,304928.0
20120105,충북,2,2.0,774896.0,210046.0
20120106,강원,1,2.0,772718.0,322636.0
20120106,강원,2,3.0,762617.0,229447.0
20120106,경기,1,4.0,6020446.0,2054584.0
20120106,경기,2,3.0,5928150.0,1182747.0
20120106,경남,1,1.0,1665308.0,622268.0
20120106,경남,2,2.0,1644251.0,430456.0
20120106,경북,1,2.0,1354649.0,565255.0
20120106,경북,2,3.0,1342455.0,427971.0
20120106,광주,1,0.0,726529.0,238253.0
20120106,광주,2,0.0,738784.0,153553.0
20120106,대구,1,2.0,1251881.0,464623.0
20120106,대구,2,2.0,1256489.0,303757.0
20120106,대전,1,1.0,759905.0,259136.0
20120106,대전,2,0.0,757394.0,156537.0
20120106,부산,1,3.0,1762043.0,725056.0
20120106,부산,2,2.0,1787458.0,492480.0
20120106,서울,1,4.0,5073567.0,1865874.0
20120106,서울,2,0.0,5176567.0,1215196.0
20120106,세종,1,0.0,52624.0,21840.0
20120106,세종,2,0.0,50503.0,16138.0
20120106,울산,1,0.0,584309.0,201978.0
20120106,울산,2,1.0,552155.0,103401.0
20120106,인천,1,2.0,1412355.0,504553.0
20120106,인천,2,2.0,1391932.0,287125.0
20120106,전남,1,1.0,956024.0,416592.0
20120106,전남,2,2.0,956701.0,336175.0
20120106,전북,1,0.0,933775.0,378668.0
20120106,전북,2,5.0,939716.0,288758.0
20120106,제주,1,0.0,288378.0,105887.0
20120106,제주,2,0.0,288129.0,74830.0
20120106,충남,1,0.0,1064012.0,417782.0
20120106,충남,2,0.0,1039117.0,304291.0
