"","지점번호","지점명(한글)"
"1",90,"속초"
"2",92,"양양(공)"
"3",95,"철원"
"4",96,"독도"
"5",98,"동두천"
"6",99,"파주"
"7",100,"대관령"
"8",101,"춘천"
"9",102,"백령"
"10",104,"북강릉"
"11",105,"강릉"
"12",106,"동해"
"13",108,"서울"
"14",110,"김포(공)"
"15",112,"인천"
"16",113,"인천(공)"
"17",114,"원주"
"18",115,"울릉도"
"19",116,"관악(레)"
"20",119,"수원"
"21",121,"영월"
"22",127,"충주"
"23",129,"서산"
"24",130,"울진"
"25",131,"청주"
"26",133,"대전"
"27",135,"추풍령"
"28",136,"안동"
"29",137,"상주"
"30",138,"포항"
"31",140,"군산"
"32",143,"대구"
"33",146,"전주"
"34",151,"울산(공)"
"35",152,"울산"
"36",155,"창원"
"37",156,"광주"
"38",159,"부산"
"39",160,"부산(레)"
"40",162,"통영"
"41",163,"무안(공)"
"42",165,"목포"
"43",167,"여수(공)"
"44",168,"여수"
"45",169,"흑산도"
"46",170,"완도"
"47",172,"고창"
"48",174,"순천"
"49",175,"진도(첨찰산)"
"50",177,"홍성(예)"
"51",182,"제주(공)"
"52",184,"제주"
"53",185,"고산"
"54",188,"성산"
"55",189,"서귀포"
"56",192,"진주"
"57",201,"강화"
"58",202,"양평"
"59",203,"이천"
"60",211,"인제"
"61",212,"홍천"
"62",216,"태백"
"63",217,"정선군"
"64",221,"제천"
"65",226,"보은"
"66",229,"격렬"
"67",232,"천안"
"68",235,"보령"
"69",236,"부여"
"70",238,"금산"
"71",243,"부안"
"72",244,"임실"
"73",245,"정읍"
"74",247,"남원"
"75",248,"장수"
"76",251,"고창군"
"77",252,"영광군"
"78",253,"김해시"
"79",254,"순창군"
"80",255,"북창원"
"81",257,"양산시"
"82",258,"보성군"
"83",259,"강진군"
"84",260,"장흥"
"85",261,"해남"
"86",262,"고흥"
"87",263,"의령군"
"88",264,"함양군"
"89",266,"광양시"
"90",268,"진도군"
"91",271,"봉화"
"92",272,"영주"
"93",273,"문경"
"94",276,"청송군"
"95",277,"영덕"
"96",278,"의성"
"97",279,"구미"
"98",281,"영천"
"99",283,"경주시"
"100",284,"거창"
"101",285,"합천"
"102",288,"밀양"
