"","stn_id","stn_kor_nm"
"1",90,"속초"
"2",91,"속초(공)"
"3",92,"양양(공)"
"4",94,"광덕산"
"5",95,"철원"
"6",98,"동두천"
"7",99,"문산"
"8",100,"대관령"
"9",101,"춘천"
"10",102,"백령도"
"11",104,"북강릉"
"12",105,"강릉"
"13",106,"동해"
"14",107,"북한"
"15",108,"기상청"
"16",109,"서울"
"17",110,"김포(공)"
"18",111,"기상레이더센터"
"19",112,"인천"
"20",113,"인천(공)"
"21",114,"원주"
"22",115,"울릉도"
"23",116,"관악산"
"24",119,"수원"
"25",121,"영월"
"26",127,"충주"
"27",128,"청주(공)"
"28",129,"서산"
"29",130,"울진"
"30",131,"청주"
"31",133,"대전"
"32",135,"추풍령"
"33",136,"안동"
"34",137,"상주"
"35",138,"포항"
"36",139,"포항(공)"
"37",140,"군산"
"38",142,"대구(공)"
"39",143,"대구"
"40",144,"오성산"
"41",146,"전주"
"42",148,"면봉산"
"43",151,"울산(공)"
"44",152,"울산"
"45",153,"김해(공)"
"46",155,"창원"
"47",156,"광주"
"48",158,"광주(공)"
"49",159,"부산"
"50",160,"구덕산"
"51",161,"사천(공)"
"52",162,"통영"
"53",163,"무안(공)"
"54",164,"무안"
"55",165,"목포"
"56",166,"목포(공)"
"57",167,"여수(공)"
"58",168,"여수"
"59",169,"흑산도"
"60",170,"완도"
"61",172,"고창"
"62",174,"순천"
"63",175,"진도"
"64",182,"제주(공)"
"65",184,"제주"
"66",185,"고산"
"67",187,"성산"
"68",188,"성산"
"69",189,"서귀포"
"70",192,"진주"
"71",201,"강화"
"72",202,"양평"
"73",203,"이천"
"74",211,"인제"
"75",212,"홍천"
"76",216,"태백"
"77",217,"정선군"
"78",221,"제천"
"79",226,"보은"
"80",232,"천안"
"81",235,"보령"
"82",236,"부여"
"83",238,"금산"
"84",243,"부안"
"85",244,"임실"
"86",245,"정읍"
"87",247,"남원"
"88",248,"장수"
"89",251,"고창군"
"90",252,"영광군"
"91",253,"김해시"
"92",254,"순창군"
"93",255,"북창원"
"94",256,"순천"
"95",257,"양산시"
"96",259,"강진군"
"97",260,"장흥"
"98",261,"해남"
"99",262,"고흥"
"100",263,"의령군"
"101",264,"함양군"
"102",265,"성산포"
"103",266,"광양시"
"104",271,"봉화"
"105",272,"영주"
"106",273,"문경"
"107",276,"청송군"
"108",277,"영덕"
"109",278,"의성"
"110",279,"구미"
"111",281,"영천"
"112",283,"경주시"
"113",284,"거창"
"114",285,"합천"
"115",288,"밀양"
"116",289,"산청"
"117",294,"거제"
"118",295,"남해"
"119",451,"장성"
"120",452,"영광"
"121",453,"구례"
"122",454,"광주분실"
"123",455,"함평"
"124",457,"나주"
"125",458,"순천분실"
"126",459,"영암"
"127",464,"제주분실"
"128",466,"한림"
"129",476,"청송"
"130",483,"경주"
