,Unnamed,yyyymmdd,area,sex,frequency,general_hospits_num,general_hospits_bed,hospits_num,hospits_bed,affiliated_hospits_num,affiliated_hospits_bed
0,1,20120101,강원,1,3,15,5228,37,4843,5,27
1,2,20120101,강원,2,3,15,5228,37,4843,5,27
2,3,20120101,경기,1,4,55,21580,245,26303,31,244
3,4,20120101,경기,2,5,55,21580,245,26303,31,244
4,5,20120101,경남,1,2,24,8372,117,16130,10,25
5,6,20120101,경남,2,1,24,8372,117,16130,10,25
6,7,20120101,경북,1,6,18,6912,69,11252,16,95
7,8,20120101,경북,2,1,18,6912,69,11252,16,95
8,9,20120101,광주,1,0,21,6901,64,7504,8,0
9,10,20120101,광주,2,2,21,6901,64,7504,8,0
10,11,20120101,대구,1,1,12,6449,107,14050,6,0
11,12,20120101,대구,2,0,12,6449,107,14050,6,0
12,13,20120101,대전,1,4,8,5152,33,3283,9,43
13,14,20120101,대전,2,1,8,5152,33,3283,9,43
14,15,20120101,부산,1,3,27,12781,105,12834,9,0
15,16,20120101,부산,2,6,27,12781,105,12834,9,0
16,17,20120101,서울,1,2,58,33307,194,16543,42,29
17,18,20120101,서울,2,6,58,33307,194,16543,42,29
18,19,20120101,세종,1,0,0,0,1,91,1,0
19,20,20120101,세종,2,0,0,0,1,91,1,0
20,21,20120101,울산,1,0,4,2230,41,4681,6,0
21,22,20120101,울산,2,0,4,2230,41,4681,6,0
22,23,20120101,인천,1,1,16,6754,45,6025,4,0
23,24,20120101,인천,2,1,16,6754,45,6025,4,0
24,25,20120101,전남,1,3,22,6686,64,8256,6,31
25,26,20120101,전남,2,6,22,6686,64,8256,6,31
26,27,20120101,전북,1,2,13,5233,68,8172,3,45
27,28,20120101,전북,2,2,13,5233,68,8172,3,45
28,29,20120101,제주,1,0,6,2128,6,809,5,12
29,30,20120101,제주,2,0,6,2128,6,809,5,12
30,31,20120101,충남,1,0,12,4672,43,4669,13,25
31,32,20120101,충남,2,1,12,4672,43,4669,13,25
32,33,20120101,충북,1,4,11,4090,35,4407,8,87
33,34,20120101,충북,2,3,11,4090,35,4407,8,87
34,35,20120102,강원,1,2,15,5228,37,4843,5,27
35,36,20120102,강원,2,0,15,5228,37,4843,5,27
36,37,20120102,경기,1,2,55,21580,245,26303,31,244
37,38,20120102,경기,2,6,55,21580,245,26303,31,244
38,39,20120102,경남,1,3,24,8372,117,16130,10,25
39,40,20120102,경남,2,1,24,8372,117,16130,10,25
40,41,20120102,경북,1,4,18,6912,69,11252,16,95
41,42,20120102,경북,2,4,18,6912,69,11252,16,95
42,43,20120102,광주,1,0,21,6901,64,7504,8,0
43,44,20120102,광주,2,1,21,6901,64,7504,8,0
44,45,20120102,대구,1,3,12,6449,107,14050,6,0
45,46,20120102,대구,2,1,12,6449,107,14050,6,0
46,47,20120102,대전,1,1,8,5152,33,3283,9,43
47,48,20120102,대전,2,2,8,5152,33,3283,9,43
48,49,20120102,부산,1,4,27,12781,105,12834,9,0
49,50,20120102,부산,2,3,27,12781,105,12834,9,0
50,51,20120102,서울,1,3,58,33307,194,16543,42,29
51,52,20120102,서울,2,7,58,33307,194,16543,42,29
52,53,20120102,세종,1,0,0,0,1,91,1,0
53,54,20120102,세종,2,0,0,0,1,91,1,0
54,55,20120102,울산,1,1,4,2230,41,4681,6,0
55,56,20120102,울산,2,0,4,2230,41,4681,6,0
56,57,20120102,인천,1,0,16,6754,45,6025,4,0
57,58,20120102,인천,2,4,16,6754,45,6025,4,0
58,59,20120102,전남,1,2,22,6686,64,8256,6,31
59,60,20120102,전남,2,3,22,6686,64,8256,6,31
60,61,20120102,전북,1,2,13,5233,68,8172,3,45
61,62,20120102,전북,2,4,13,5233,68,8172,3,45
62,63,20120102,제주,1,0,6,2128,6,809,5,12
63,64,20120102,제주,2,0,6,2128,6,809,5,12
64,65,20120102,충남,1,1,12,4672,43,4669,13,25
65,66,20120102,충남,2,0,12,4672,43,4669,13,25
66,67,20120102,충북,1,1,11,4090,35,4407,8,87
67,68,20120102,충북,2,0,11,4090,35,4407,8,87
68,69,20120103,강원,1,0,15,5228,37,4843,5,27
69,70,20120103,강원,2,0,15,5228,37,4843,5,27
70,71,20120103,경기,1,7,55,21580,245,26303,31,244
71,72,20120103,경기,2,4,55,21580,245,26303,31,244
72,73,20120103,경남,1,4,24,8372,117,16130,10,25
73,74,20120103,경남,2,3,24,8372,117,16130,10,25
74,75,20120103,경북,1,2,18,6912,69,11252,16,95
75,76,20120103,경북,2,1,18,6912,69,11252,16,95
76,77,20120103,광주,1,1,21,6901,64,7504,8,0
77,78,20120103,광주,2,2,21,6901,64,7504,8,0
78,79,20120103,대구,1,1,12,6449,107,14050,6,0
79,80,20120103,대구,2,1,12,6449,107,14050,6,0
80,81,20120103,대전,1,1,8,5152,33,3283,9,43
81,82,20120103,대전,2,1,8,5152,33,3283,9,43
82,83,20120103,부산,1,1,27,12781,105,12834,9,0
83,84,20120103,부산,2,3,27,12781,105,12834,9,0
84,85,20120103,서울,1,2,58,33307,194,16543,42,29
85,86,20120103,서울,2,4,58,33307,194,16543,42,29
86,87,20120103,세종,1,2,0,0,1,91,1,0
87,88,20120103,세종,2,0,0,0,1,91,1,0
88,89,20120103,울산,1,0,4,2230,41,4681,6,0
89,90,20120103,울산,2,1,4,2230,41,4681,6,0
90,91,20120103,인천,1,1,16,6754,45,6025,4,0
91,92,20120103,인천,2,0,16,6754,45,6025,4,0
92,93,20120103,전남,1,2,22,6686,64,8256,6,31
93,94,20120103,전남,2,0,22,6686,64,8256,6,31
94,95,20120103,전북,1,0,13,5233,68,8172,3,45
95,96,20120103,전북,2,1,13,5233,68,8172,3,45
96,97,20120103,제주,1,0,6,2128,6,809,5,12
97,98,20120103,제주,2,0,6,2128,6,809,5,12
98,99,20120103,충남,1,1,12,4672,43,4669,13,25
99,100,20120103,충남,2,2,12,4672,43,4669,13,25
100,101,20120103,충북,1,1,11,4090,35,4407,8,87
101,102,20120103,충북,2,1,11,4090,35,4407,8,87
102,103,20120104,강원,1,1,15,5228,37,4843,5,27
103,104,20120104,강원,2,2,15,5228,37,4843,5,27
104,105,20120104,경기,1,4,55,21580,245,26303,31,244
105,106,20120104,경기,2,5,55,21580,245,26303,31,244
106,107,20120104,경남,1,2,24,8372,117,16130,10,25
107,108,20120104,경남,2,1,24,8372,117,16130,10,25
108,109,20120104,경북,1,3,18,6912,69,11252,16,95
109,110,20120104,경북,2,3,18,6912,69,11252,16,95
110,111,20120104,광주,1,1,21,6901,64,7504,8,0
111,112,20120104,광주,2,1,21,6901,64,7504,8,0
112,113,20120104,대구,1,3,12,6449,107,14050,6,0
113,114,20120104,대구,2,0,12,6449,107,14050,6,0
114,115,20120104,대전,1,1,8,5152,33,3283,9,43
115,116,20120104,대전,2,0,8,5152,33,3283,9,43
116,117,20120104,부산,1,3,27,12781,105,12834,9,0
117,118,20120104,부산,2,1,27,12781,105,12834,9,0
118,119,20120104,서울,1,3,58,33307,194,16543,42,29
119,120,20120104,서울,2,8,58,33307,194,16543,42,29
120,121,20120104,세종,1,0,0,0,1,91,1,0
121,122,20120104,세종,2,0,0,0,1,91,1,0
122,123,20120104,울산,1,0,4,2230,41,4681,6,0
123,124,20120104,울산,2,0,4,2230,41,4681,6,0
124,125,20120104,인천,1,1,16,6754,45,6025,4,0
125,126,20120104,인천,2,1,16,6754,45,6025,4,0
126,127,20120104,전남,1,1,22,6686,64,8256,6,31
127,128,20120104,전남,2,3,22,6686,64,8256,6,31
128,129,20120104,전북,1,0,13,5233,68,8172,3,45
129,130,20120104,전북,2,3,13,5233,68,8172,3,45
130,131,20120104,제주,1,0,6,2128,6,809,5,12
131,132,20120104,제주,2,0,6,2128,6,809,5,12
132,133,20120104,충남,1,0,12,4672,43,4669,13,25
133,134,20120104,충남,2,0,12,4672,43,4669,13,25
134,135,20120104,충북,1,0,11,4090,35,4407,8,87
135,136,20120104,충북,2,1,11,4090,35,4407,8,87
136,137,20120105,강원,1,2,15,5228,37,4843,5,27
137,138,20120105,강원,2,1,15,5228,37,4843,5,27
138,139,20120105,경기,1,12,55,21580,245,26303,31,244
139,140,20120105,경기,2,2,55,21580,245,26303,31,244
140,141,20120105,경남,1,3,24,8372,117,16130,10,25
141,142,20120105,경남,2,0,24,8372,117,16130,10,25
142,143,20120105,경북,1,1,18,6912,69,11252,16,95
143,144,20120105,경북,2,2,18,6912,69,11252,16,95
144,145,20120105,광주,1,0,21,6901,64,7504,8,0
145,146,20120105,광주,2,1,21,6901,64,7504,8,0
146,147,20120105,대구,1,2,12,6449,107,14050,6,0
147,148,20120105,대구,2,1,12,6449,107,14050,6,0
148,149,20120105,대전,1,0,8,5152,33,3283,9,43
149,150,20120105,대전,2,0,8,5152,33,3283,9,43
150,151,20120105,부산,1,5,27,12781,105,12834,9,0
151,152,20120105,부산,2,2,27,12781,105,12834,9,0
152,153,20120105,서울,1,9,58,33307,194,16543,42,29
153,154,20120105,서울,2,4,58,33307,194,16543,42,29
154,155,20120105,세종,1,0,0,0,1,91,1,0
155,156,20120105,세종,2,0,0,0,1,91,1,0
156,157,20120105,울산,1,1,4,2230,41,4681,6,0
157,158,20120105,울산,2,1,4,2230,41,4681,6,0
158,159,20120105,인천,1,1,16,6754,45,6025,4,0
159,160,20120105,인천,2,1,16,6754,45,6025,4,0
160,161,20120105,전남,1,6,22,6686,64,8256,6,31
161,162,20120105,전남,2,2,22,6686,64,8256,6,31
162,163,20120105,전북,1,0,13,5233,68,8172,3,45
163,164,20120105,전북,2,0,13,5233,68,8172,3,45
164,165,20120105,제주,1,0,6,2128,6,809,5,12
165,166,20120105,제주,2,0,6,2128,6,809,5,12
166,167,20120105,충남,1,1,12,4672,43,4669,13,25
167,168,20120105,충남,2,0,12,4672,43,4669,13,25
168,169,20120105,충북,1,1,11,4090,35,4407,8,87
169,170,20120105,충북,2,2,11,4090,35,4407,8,87
170,171,20120106,강원,1,2,15,5228,37,4843,5,27
171,172,20120106,강원,2,3,15,5228,37,4843,5,27
172,173,20120106,경기,1,4,55,21580,245,26303,31,244
173,174,20120106,경기,2,3,55,21580,245,26303,31,244
174,175,20120106,경남,1,1,24,8372,117,16130,10,25
175,176,20120106,경남,2,2,24,8372,117,16130,10,25
176,177,20120106,경북,1,2,18,6912,69,11252,16,95
177,178,20120106,경북,2,3,18,6912,69,11252,16,95
178,179,20120106,광주,1,0,21,6901,64,7504,8,0
179,180,20120106,광주,2,0,21,6901,64,7504,8,0
180,181,20120106,대구,1,2,12,6449,107,14050,6,0
181,182,20120106,대구,2,2,12,6449,107,14050,6,0
182,183,20120106,대전,1,1,8,5152,33,3283,9,43
183,184,20120106,대전,2,0,8,5152,33,3283,9,43
184,185,20120106,부산,1,3,27,12781,105,12834,9,0
185,186,20120106,부산,2,2,27,12781,105,12834,9,0
186,187,20120106,서울,1,4,58,33307,194,16543,42,29
187,188,20120106,서울,2,0,58,33307,194,16543,42,29
188,189,20120106,세종,1,0,0,0,1,91,1,0
189,190,20120106,세종,2,0,0,0,1,91,1,0
190,191,20120106,울산,1,0,4,2230,41,4681,6,0
191,192,20120106,울산,2,1,4,2230,41,4681,6,0
192,193,20120106,인천,1,2,16,6754,45,6025,4,0
193,194,20120106,인천,2,2,16,6754,45,6025,4,0
194,195,20120106,전남,1,1,22,6686,64,8256,6,31
195,196,20120106,전남,2,2,22,6686,64,8256,6,31
196,197,20120106,전북,1,0,13,5233,68,8172,3,45
197,198,20120106,전북,2,5,13,5233,68,8172,3,45
198,199,20120106,제주,1,0,6,2128,6,809,5,12
199,200,20120106,제주,2,0,6,2128,6,809,5,12
200,201,20120106,충남,1,0,12,4672,43,4669,13,25
201,202,20120106,충남,2,0,12,4672,43,4669,13,25
202,203,20120106,충북,1,1,11,4090,35,4407,8,87
203,204,20120106,충북,2,0,11,4090,35,4407,8,87
204,205,20120107,강원,1,1,15,5228,37,4843,5,27
205,206,20120107,강원,2,1,15,5228,37,4843,5,27
206,207,20120107,경기,1,3,55,21580,245,26303,31,244
207,208,20120107,경기,2,1,55,21580,245,26303,31,244
208,209,20120107,경남,1,2,24,8372,117,16130,10,25
209,210,20120107,경남,2,1,24,8372,117,16130,10,25
210,211,20120107,경북,1,0,18,6912,69,11252,16,95
211,212,20120107,경북,2,5,18,6912,69,11252,16,95
212,213,20120107,광주,1,0,21,6901,64,7504,8,0
213,214,20120107,광주,2,1,21,6901,64,7504,8,0
214,215,20120107,대구,1,1,12,6449,107,14050,6,0
215,216,20120107,대구,2,2,12,6449,107,14050,6,0
