,citys,general_hospits_num,general_hospits_bed,hospits_num,hospits_bed,affiliated_hospits_num,affiliated_hospits_bed
0,서울특별시,58,33307,194,16543,42,29
1,부산광역시,27,12781,105,12834,9,0
2,대구광역시,12,6449,107,14050,6,0
3,인천광역시,16,6754,45,6025,4,0
4,광주광역시,21,6901,64,7504,8,0
5,대전광역시,8,5152,33,3283,9,43
6,울산광역시,4,2230,41,4681,6,0
7,세종특별자치시,0,0,1,91,1,0
8,경기도,55,21580,245,26303,31,244
9,강원도,15,5228,37,4843,5,27
10,충청북도,11,4090,35,4407,8,87
11,충청남도,12,4672,43,4669,13,25
12,전라북도,13,5233,68,8172,3,45
13,전라남도,22,6686,64,8256,6,31
14,경상북도,18,6912,69,11252,16,95
15,경상남도,24,8372,117,16130,10,25
16,제주특별자치도,6,2128,6,809,5,12
