"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"행정구역별(1)",행정구역별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"총계",소계,52127443,60693,624546,1.20,323,140052,0.06,1307,148747,28341,79176,175,50899,1207,190075,15867,372,222,12532,13014,1960,34,77,203,656,14,244,1335,1903
"서울특별시",소계,10388055,16125,83379,0.80,57,33057,0.05,206,17336,7548,13969,16,3907,88,12584,4646,146,32,1831,3480,506,5,14,47,29,-,25,20,7
"서울특별시",종로구,167867,475,3188,1.90,4,2855,0.24,2,117,161,145,-,-,-,-,171,40,1,31,131,-,-,-,5,-,-,1,1,-
"서울특별시",중구,137990,549,1620,1.17,3,1203,0.22,2,218,202,199,-,-,-,-,223,-,-,-,101,-,-,-,18,-,-,1,1,-
"서울특별시",용산구,251925,280,1065,0.42,2,836,0.08,1,80,113,108,-,-,-,-,100,-,1,36,60,-,1,5,2,-,-,1,1,-
"서울특별시",성동구,306571,371,1926,0.63,1,805,0.03,6,514,170,290,-,-,2,317,115,-,-,-,77,-,-,-,-,-,-,1,2,-
"서울특별시",광진구,381439,523,2643,0.69,2,1143,0.05,4,218,253,833,1,335,1,88,146,-,-,-,116,26,-,-,-,-,-,1,-,1
"서울특별시",동대문구,376445,586,5885,1.56,5,2119,0.13,14,1605,229,589,1,500,6,801,144,26,1,240,185,-,1,5,-,-,-,1,1,-
