"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"행정구역별(1)",행정구역별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
"총계",소계,52419359,62179,651499,1.24,330,144598,0.06,1332,148906,29088,77689,172,48060,1297,214478,16192,368,233,14209,13303,2450,33,70,199,671,14,219,1161,1680
"서울특별시",소계,10369593,16386,85347,0.82,57,33469,0.05,206,17098,7695,13335,15,3791,98,15004,4697,153,33,1852,3530,602,5,14,50,29,-,25,10,-
"서울특별시",종로구,165344,476,3277,1.98,4,2947,0.24,2,123,167,136,-,-,-,-,168,40,1,31,128,-,-,-,6,-,-,1,-,-
"서울특별시",중구,136227,544,1580,1.16,3,1120,0.22,2,218,202,242,-,-,-,-,221,-,-,-,98,-,-,-,18,-,-,1,-,-
"서울특별시",용산구,249914,289,992,0.40,2,816,0.08,1,82,119,89,-,-,-,-,104,-,-,-,60,-,1,5,2,-,-,1,-,-
"서울특별시",성동구,303891,381,1897,0.62,1,825,0.03,6,514,172,244,-,-,2,314,117,-,-,-,83,-,-,-,-,-,-,1,-,-
"서울특별시",광진구,377375,528,2579,0.68,2,1115,0.05,4,224,252,803,1,335,1,76,152,-,-,-,116,26,-,-,-,-,-,1,2,-
"서울특별시",동대문구,376319,589,5907,1.57,5,2051,0.13,13,1501,233,624,1,500,7,960,146,26,1,240,182,-,1,5,-,-,-,1,-,-
