,citys,general_hospits_num,general_hospits_bed,hospits_num,hospits_bed,affiliated_hospits_num,affiliated_hospits_bed
0,서울특별시,57,33035,213,17625,55,29
1,부산광역시,29,13030,129,13345,10,13
2,대구광역시,12,6890,111,14837,10,0
3,인천광역시,18,7869,57,7100,3,-
4,광주광역시,21,6959,71,7757,8,0
5,대전광역시,10,5576,35,3677,9,43
6,울산광역시,8,3065,42,4088,8,0
7,세종특별자치시,0,0,1,78,7,0
8,경기도,59,23841,253,26253,41,118
9,강원도,15,5581,41,5129,8,0
10,충청북도,12,4637,38,4740,9,58
11,충청남도,13,5068,40,3309,-,-
12,전라북도,13,5737,71,7117,4,55
13,전라남도,24,7904,72,9648,9,53
14,경상북도,19,7808,67,7752,19,128
15,경상남도,25,9277,121,14928,13,40
16,제주특별자치도,6,2223,8,737,0,0
