,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,충청북도,계,남자,781367,785564,791388,798861,805198,812339,817342
1,충청북도,계,여자,763847,767914,773428,779542,784066,788565,791719
2,충청북도,0 - 4세,남자,37288,37576,37250,36775,36114,35076,33990
3,충청북도,0 - 4세,여자,34924,35395,34980,35047,34680,33857,32566
4,충청북도,5 - 9세,남자,38203,37141,37128,36706,36457,37089,37261
5,충청북도,5 - 9세,여자,35253,34463,34698,34266,34113,34709,35012
6,충청북도,10 - 14세,남자,52070,49247,46702,44373,41251,38180,37047
7,충청북도,10 - 14세,여자,47778,45368,42640,40516,37660,34883,34120
8,충청북도,15 - 19세,남자,59051,58872,58223,57392,56829,55309,52259
9,충청북도,15 - 19세,여자,51578,52280,52959,52689,51666,50506,47333
10,충청북도,20 - 24세,남자,54663,55975,57632,59975,61708,65645,65430
11,충청북도,20 - 24세,여자,46209,46603,47092,48207,50215,52719,53057
12,충청북도,25 - 29세,남자,56886,54862,52921,51962,52104,53208,55211
13,충청북도,25 - 29세,여자,47942,45358,43641,42667,42286,42629,43103
14,충청북도,30 - 34세,남자,57809,59192,60212,60159,58585,57068,54818
15,충청북도,30 - 34세,여자,52042,53489,54059,53804,51594,49413,46754
16,충청북도,35 - 39세,남자,62802,61148,59404,58230,58776,59317,60685
17,충청북도,35 - 39세,여자,57971,56377,54817,53161,53245,53271,54816
18,충청북도,40 - 44세,남자,66895,67340,68237,67304,66370,63984,62231
19,충청북도,40 - 44세,여자,62942,63486,63664,62278,61271,59288,57718
20,충청북도,45 - 49세,남자,64863,64642,64136,67878,68556,69109,69157
21,충청북도,45 - 49세,여자,59607,59487,59933,63982,64924,65450,65359
22,충청북도,50 - 54세,남자,65520,67109,68526,67796,68453,65965,66249
23,충청북도,50 - 54세,여자,62161,63730,65120,64083,63886,61508,61806
24,충청북도,55 - 59세,남자,48310,51106,55189,59286,62366,67390,69192
25,충청북도,55 - 59세,여자,47524,49706,53197,57078,60295,65368,66931
26,충청북도,60 - 64세,남자,33371,35400,36994,39399,43304,48159,51722
27,충청북도,60 - 64세,여자,34376,36208,37800,40101,43858,48239,51248
28,충청북도,65 - 69세,남자,28608,28471,28778,29995,30964,32340,34716
29,충청북도,65 - 69세,여자,33579,32485,31860,32190,32730,34203,36281
30,충청북도,70 - 74세,남자,26062,26707,27579,27279,27368,26300,26248
31,충청북도,70 - 74세,여자,34487,35185,35905,35311,34911,33050,31941
32,충청북도,75 - 79세,남자,17175,18373,19259,20217,20721,21267,22531
33,충청북도,75 - 79세,여자,28042,29165,30040,30998,31079,31070,32541
34,충청북도,80세이상,남자,11791,12403,13218,14135,15272,16933,18595
35,충청북도,80세이상,여자,27432,29129,31023,33164,35653,38402,41133
36,충청북도,80 - 84세,남자,7545,7966,8626,9249,10284,11698,12900
37,충청북도,80 - 84세,여자,16434,17392,18469,19555,21112,22835,24373
38,충청북도,85 - 89세,남자,3266,3350,3436,3681,3762,3918,4227
39,충청북도,85 - 89세,여자,7761,8208,8612,9517,10185,10894,11667
40,충청북도,90 - 94세,남자,831,936,1003,1049,1076,1143,1216
41,충청북도,90 - 94세,여자,2602,2849,3235,3346,3518,3739,3997
42,충청북도,95 - 99세,남자,137,139,138,139,137,158,235
43,충청북도,95 - 99세,여자,562,604,623,650,724,809,973
44,충청북도,100세 이상,남자,12,12,15,17,13,16,17
45,충청북도,100세 이상,여자,73,76,84,96,114,125,123
