,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,충청남도,계,남자,1077734,1042996,1053128,1067014,1075649,1087515,1103324
1,충청남도,계,여자,1030636,999693,1009173,1020586,1027162,1038659,1050056
2,충청남도,0 - 4세,남자,53124,51910,51313,51047,50700,49542,47921
3,충청남도,0 - 4세,여자,49576,48390,48166,47838,47688,47129,46021
4,충청남도,5 - 9세,남자,51919,49466,50048,50190,50325,51803,52778
5,충청남도,5 - 9세,여자,48123,45730,46598,46732,47065,48215,49219
6,충청남도,10 - 14세,남자,68151,63312,60108,57217,53353,50336,49694
7,충청남도,10 - 14세,여자,62386,57521,54868,52653,49538,46840,46245
8,충청남도,15 - 19세,남자,77238,72650,72373,72067,71852,70852,68587
9,충청남도,15 - 19세,여자,69932,66520,66977,66883,65592,65445,63105
10,충청남도,20 - 24세,남자,73604,70012,72344,75034,76796,79328,79804
11,충청남도,20 - 24세,여자,66806,64170,63824,64174,65836,68133,67952
12,충청남도,25 - 29세,남자,81693,75706,72752,71624,71034,71283,73989
13,충청남도,25 - 29세,여자,62070,58415,57531,57287,56416,56355,57101
14,충청남도,30 - 34세,남자,85790,85890,87849,88122,85367,82184,79425
15,충청남도,30 - 34세,여자,70030,70157,71711,72118,69385,67076,64592
16,충청남도,35 - 39세,남자,88665,83701,82630,82422,83990,86503,90362
17,충청남도,35 - 39세,여자,76508,72583,71175,69970,71212,72453,75509
18,충청남도,40 - 44세,남자,90195,89273,91150,91453,91276,88656,87193
19,충청남도,40 - 44세,여자,77531,77041,78593,78654,78251,76879,75805
20,충청남도,45 - 49세,남자,84777,81490,81336,85997,85782,89958,92599
21,충청남도,45 - 49세,여자,73873,71317,71442,76127,76228,79277,81085
22,충청남도,50 - 54세,남자,82805,82439,85335,85823,87452,83710,84227
23,충청남도,50 - 54세,여자,76912,76351,78533,78044,78321,74775,75204
24,충청남도,55 - 59세,남자,61591,62087,66841,71865,75841,82019,85611
25,충청남도,55 - 59세,여자,60794,60531,64534,69275,73086,78587,81544
26,충청남도,60 - 64세,남자,50269,49167,49640,50928,54699,60219,63664
27,충청남도,60 - 64세,여자,51161,50285,51098,52619,56037,60904,63841
28,충청남도,65 - 69세,남자,40783,39065,39546,41604,44344,47051,48966
29,충청남도,65 - 69세,여자,47808,44055,43187,44129,46551,49429,51455
30,충청남도,70 - 74세,남자,38379,37332,37854,37024,36583,35722,36185
31,충청남도,70 - 74세,여자,50997,49746,49936,48456,47142,44599,42855
32,충청남도,75 - 79세,남자,28920,29000,29722,30498,30502,30142,31646
33,충청남도,75 - 79세,여자,43803,43309,44263,45616,45456,44618,46360
34,충청남도,80세이상,남자,19831,20496,22287,24099,25753,28207,30673
35,충청남도,80세이상,여자,42326,43572,46737,50011,53358,57945,62163
36,충청남도,80 - 84세,남자,13070,13660,14924,16172,17585,19543,20877
37,충청남도,80 - 84세,여자,24986,25829,27687,29395,31594,34521,36387
38,충청남도,85 - 89세,남자,5242,5204,5550,5992,6204,6573,7481
39,충청남도,85 - 89세,여자,12243,12369,12956,14241,15169,16280,18041
40,충청남도,90 - 94세,남자,1306,1397,1549,1634,1645,1771,1936
41,충청남도,90 - 94세,여자,4069,4341,5015,5191,5299,5719,6081
42,충청남도,95 - 99세,남자,198,218,247,284,301,301,354
43,충청남도,95 - 99세,여자,898,900,949,1046,1142,1246,1459
44,충청남도,100세 이상,남자,15,17,17,17,18,19,25
45,충청남도,100세 이상,여자,130,133,130,138,154,179,195
