,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,대구광역시,계,남자,1238666,1236441,1232859,1232587,1230092,1223929,1220800
1,대구광역시,계,여자,1244450,1244052,1242798,1242313,1238663,1237343,1236969
2,대구광역시,0 - 4세,남자,54413,54634,53656,52947,52568,51275,49550
3,대구광역시,0 - 4세,여자,50378,50800,50158,49990,49907,49115,47455
4,대구광역시,5 - 9세,남자,60033,57438,56464,54917,54090,54537,54796
5,대구광역시,5 - 9세,여자,53916,52144,51834,50762,50183,50948,51438
6,대구광역시,10 - 14세,남자,86697,81407,76191,71781,66043,60711,58029
7,대구광역시,10 - 14세,여자,76231,71774,67161,63775,58878,54250,52534
8,대구광역시,15 - 19세,남자,101663,99444,96393,92444,89184,84786,79784
9,대구광역시,15 - 19세,여자,84326,83947,83053,80821,78948,75943,71455
10,대구광역시,20 - 24세,남자,91749,94300,96711,98607,98993,98474,95611
11,대구광역시,20 - 24세,여자,74076,75373,77078,78772,80002,80546,80061
12,대구광역시,25 - 29세,남자,87499,83245,80025,79661,80695,81004,84132
13,대구광역시,25 - 29세,여자,83101,76299,70437,67386,66593,66542,68977
14,대구광역시,30 - 34세,남자,91272,91847,91401,89908,85722,81400,77698
15,대구광역시,30 - 34세,여자,91115,92367,91981,89210,82539,76654,71237
16,대구광역시,35 - 39세,남자,101038,96973,92597,89642,89368,89994,90429
17,대구광역시,35 - 39세,여자,102793,97950,93161,89317,88462,89144,90028
18,대구광역시,40 - 44세,남자,110784,110686,109885,107735,104894,100226,96289
19,대구광역시,40 - 44세,여자,114730,115086,114523,111822,108075,102920,98135
20,대구광역시,45 - 49세,남자,108832,107427,105602,108539,109491,110145,110279
21,대구광역시,45 - 49세,여자,110645,109521,108561,112216,113191,114125,114406
22,대구광역시,50 - 54세,남자,106032,108374,111127,110064,108223,104708,103726
23,대구광역시,50 - 54세,여자,108595,111163,114309,113164,110672,107298,106781
24,대구광역시,55 - 59세,남자,77712,81431,85258,90745,94914,100484,103134
25,대구광역시,55 - 59세,여자,82068,85393,88214,93554,98261,104659,107196
26,대구광역시,60 - 64세,남자,57315,60066,62089,63519,67415,72560,75882
27,대구광역시,60 - 64세,여자,61730,64617,67277,68545,73192,78811,81751
28,대구광역시,65 - 69세,남자,41161,41523,42612,45294,48511,51824,54859
29,대구광역시,65 - 69세,여자,48412,48690,49407,51943,54476,58816,62079
30,대구광역시,70 - 74세,남자,31988,34248,36766,37544,37754,36167,36652
31,대구광역시,70 - 74세,여자,43086,45434,47878,48708,48504,45613,46124
32,대구광역시,75 - 79세,남자,19061,20752,22142,23841,24963,26286,28651
33,대구광역시,75 - 79세,여자,30883,32647,34457,36309,37798,39371,41663
34,대구광역시,80세이상,남자,11417,12646,13940,15399,17264,19348,21299
35,대구광역시,80세이상,여자,28365,30847,33309,36019,38982,42588,45649
36,대구광역시,80 - 84세,남자,7809,8670,9581,10650,12280,13849,15025
37,대구광역시,80 - 84세,여자,17561,19045,20384,21910,23763,25944,27452
38,대구광역시,85 - 89세,남자,2883,3141,3399,3692,3857,4267,4885
39,대구광역시,85 - 89세,여자,7851,8478,9190,10098,10889,11944,13038
40,대구광역시,90 - 94세,남자,630,732,844,918,965,1054,1174
41,대구광역시,90 - 94세,여자,2388,2706,3083,3322,3553,3823,4184
42,대구광역시,95 - 99세,남자,89,97,108,130,151,167,198
43,대구광역시,95 - 99세,여자,496,546,578,610,689,773,863
44,대구광역시,100세 이상,남자,6,6,8,9,11,11,17
45,대구광역시,100세 이상,여자,69,72,74,79,88,104,112
