,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,대전광역시,계,남자,769470,774514,776298,779597,774512,771514,766620
1,대전광역시,계,여자,758886,765622,768934,773095,767882,764655,761164
2,대전광역시,0 - 4세,남자,38691,39378,38857,38379,37323,35877,33797
3,대전광역시,0 - 4세,여자,36100,36477,36241,36271,35226,33644,32048
4,대전광역시,5 - 9세,남자,40370,39453,39461,38855,37684,37433,36956
5,대전광역시,5 - 9세,여자,37280,36956,37018,36290,35545,35399,34669
6,대전광역시,10 - 14세,남자,53987,51178,48215,45900,42514,39344,37662
7,대전광역시,10 - 14세,여자,49409,46818,44212,42318,39288,36275,35166
8,대전광역시,15 - 19세,남자,63658,63744,62957,61805,59904,57517,54744
9,대전광역시,15 - 19세,여자,55987,56775,57143,56625,54562,52690,49616
10,대전광역시,20 - 24세,남자,62593,63813,65398,67392,68794,69559,68646
11,대전광역시,20 - 24세,여자,55595,55897,56176,57294,59408,60179,60589
12,대전광역시,25 - 29세,남자,61173,58615,56378,54985,54963,55853,57329
13,대전광역시,25 - 29세,여자,56069,53275,50807,49186,47429,47197,48404
14,대전광역시,30 - 34세,남자,60819,62363,62350,61716,58114,55520,52747
15,대전광역시,30 - 34세,여자,60241,61792,61627,60377,56262,52411,48872
16,대전광역시,35 - 39세,남자,65934,63886,61601,59436,58471,58460,58820
17,대전광역시,35 - 39세,여자,64702,63110,61126,59443,58356,58146,58438
18,대전광역시,40 - 44세,남자,67765,69092,69801,69303,67035,63741,60585
19,대전광역시,40 - 44세,여자,68055,69592,70047,68856,66601,63715,61032
20,대전광역시,45 - 49세,남자,63346,62712,61961,64943,65301,66882,67330
21,대전광역시,45 - 49세,여자,62344,61704,61827,65669,65795,67498,67977
22,대전광역시,50 - 54세,남자,61856,63233,64380,63799,62728,59757,59188
23,대전광역시,50 - 54세,여자,61759,63606,64858,63888,62807,59337,58670
24,대전광역시,55 - 59세,남자,43674,46707,50026,53045,55231,58695,59423
25,대전광역시,55 - 59세,여자,43284,46316,49732,53166,55772,59781,60980
26,대전광역시,60 - 64세,남자,30357,31750,32951,34383,37181,40522,43119
27,대전광역시,60 - 64세,여자,30438,32030,33257,34969,38123,41737,44165
28,대전광역시,65 - 69세,남자,21860,22536,23358,24865,26526,27896,29102
29,대전광역시,65 - 69세,여자,24103,24512,24990,26337,27898,29549,30759
30,대전광역시,70 - 74세,남자,16308,17623,18677,19271,19848,19799,20167
31,대전광역시,70 - 74세,여자,20844,22172,23275,23561,24053,23503,23539
32,대전광역시,75 - 79세,남자,9962,10852,11681,12493,13132,13755,15161
33,대전광역시,75 - 79세,여자,16061,16865,17601,18435,18912,19477,20811
34,대전광역시,80세이상,남자,7117,7579,8246,9027,9763,10904,11844
35,대전광역시,80세이상,여자,16615,17725,18997,20410,21845,24117,25429
36,대전광역시,80 - 84세,남자,4589,4892,5357,5875,6487,7322,7949
37,대전광역시,80 - 84세,여자,9758,10410,11133,11770,12587,13866,14401
38,대전광역시,85 - 89세,남자,1904,1995,2116,2328,2417,2648,2878
39,대전광역시,85 - 89세,여자,4908,5164,5394,5976,6454,7116,7647
40,대전광역시,90 - 94세,남자,534,587,655,695,703,767,836
41,대전광역시,90 - 94세,여자,1537,1692,1983,2158,2261,2513,2695
42,대전광역시,95 - 99세,남자,84,97,108,118,141,152,159
43,대전광역시,95 - 99세,여자,350,392,423,439,466,523,595
44,대전광역시,100세 이상,남자,6,8,10,11,15,15,22
45,대전광역시,100세 이상,여자,62,67,64,67,77,99,91
