,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,강원도,계,남자,757935,761014,760774,763051,767652,769110,768854
1,강원도,계,여자,740009,743220,744912,747147,748984,751576,752025
2,강원도,0 - 4세,남자,32857,32511,31702,31019,30256,29148,27667
3,강원도,0 - 4세,여자,30656,30400,29749,29259,28797,27930,26533
4,강원도,5 - 9세,남자,36012,34693,34078,33287,32747,32922,32638
5,강원도,5 - 9세,여자,33019,31792,31368,30723,30461,30854,30733
6,강원도,10 - 14세,남자,49158,46950,44367,41754,38673,35717,34333
7,강원도,10 - 14세,여자,44827,42748,40199,37960,35273,32933,31642
8,강원도,15 - 19세,남자,55336,55189,54537,53952,53065,51297,49273
9,강원도,15 - 19세,여자,47980,47965,47641,47004,46366,44863,42981
10,강원도,20 - 24세,남자,55091,56787,57748,58661,62350,63125,61667
11,강원도,20 - 24세,여자,41267,42786,43823,44312,44736,46133,45563
12,강원도,25 - 29세,남자,49674,47993,45967,44942,45312,46033,47585
13,강원도,25 - 29세,여자,38810,36485,35153,34730,34855,35118,36015
14,강원도,30 - 34세,남자,49280,49851,49706,49166,47391,45661,43365
15,강원도,30 - 34세,여자,45716,46175,45680,44634,42610,40384,37729
16,강원도,35 - 39세,남자,57584,54896,52337,50233,49702,49836,50467
17,강원도,35 - 39세,여자,53843,51856,49896,47758,47521,47626,48376
18,강원도,40 - 44세,남자,63320,64042,63981,63251,61851,59089,56312
19,강원도,40 - 44세,여자,58229,58761,59029,58367,57065,55156,53160
20,강원도,45 - 49세,남자,62788,62046,60753,63051,64339,65064,65203
21,강원도,45 - 49세,여자,58931,57935,56693,58613,59320,59995,60000
22,강원도,50 - 54세,남자,67519,68243,68999,67809,65914,63813,63265
23,강원도,50 - 54세,여자,65774,66919,67356,65945,63425,60573,59758
24,강원도,55 - 59세,남자,51396,54721,58805,62773,65382,69032,69992
25,강원도,55 - 59세,여자,50589,53323,57047,60977,64367,68772,69903
26,강원도,60 - 64세,남자,34161,35821,37303,40098,45431,51056,54694
27,강원도,60 - 64세,여자,36734,38416,39701,42002,46532,51246,54144
28,강원도,65 - 69세,남자,33235,33299,33362,33705,33344,33641,35281
29,강원도,65 - 69세,여자,38801,38006,37493,37176,36658,37120,38712
30,강원도,70 - 74세,남자,30155,31157,31853,31695,31915,30868,30966
31,강원도,70 - 74세,여자,38058,39660,40526,40194,39864,37879,37141
32,강원도,75 - 79세,남자,17600,19263,20895,22366,23910,25050,26362
33,강원도,75 - 79세,여자,27619,29050,30674,32293,33512,34825,36633
34,강원도,80세이상,남자,12769,13552,14381,15289,16070,17758,19784
35,강원도,80세이상,여자,29156,30943,32884,35200,37622,40169,43002
36,강원도,80 - 84세,남자,7909,8429,8966,9587,10183,11574,13202
37,강원도,80 - 84세,여자,17164,18097,19047,19990,21017,22485,24066
38,강원도,85 - 89세,남자,3675,3808,3875,3951,4034,4267,4614
39,강원도,85 - 89세,여자,8454,8986,9517,10576,11628,12150,12895
40,강원도,90 - 94세,남자,983,1084,1280,1463,1556,1598,1604
41,강원도,90 - 94세,여자,2835,3061,3443,3714,4035,4445,4795
42,강원도,95 - 99세,남자,173,198,224,247,269,290,329
43,강원도,95 - 99세,여자,615,705,778,819,835,967,1099
44,강원도,100세 이상,남자,29,33,36,41,28,29,35
45,강원도,100세 이상,여자,88,94,99,101,107,122,147
