,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,광주광역시,계,남자,748229,748890,748772,749276,750248,747452,744386
1,광주광역시,계,여자,753822,754868,755063,755306,755658,754673,751006
2,광주광역시,0 - 4세,남자,38693,38147,37387,36639,35969,34821,32961
3,광주광역시,0 - 4세,여자,36039,35605,34934,34197,33753,32841,31068
4,광주광역시,5 - 9세,남자,41517,40247,39776,38704,38439,38644,38256
5,광주광역시,5 - 9세,여자,38192,36972,36631,36121,35748,36051,35757
6,광주광역시,10 - 14세,남자,58096,55016,51657,48937,45228,41560,39893
7,광주광역시,10 - 14세,여자,53552,50668,47509,44911,41565,38323,36783
8,광주광역시,15 - 19세,남자,63308,62753,61831,60063,58858,56552,53550
9,광주광역시,15 - 19세,여자,58412,58626,58434,57223,55523,53463,50756
10,광주광역시,20 - 24세,남자,53384,55156,57441,59437,60684,61679,62193
11,광주광역시,20 - 24세,여자,51957,52424,53274,54883,56809,57052,57213
12,광주광역시,25 - 29세,남자,58394,54429,50683,48680,48744,48174,49866
13,광주광역시,25 - 29세,여자,55901,52063,48809,46338,45596,44575,45498
14,광주광역시,30 - 34세,남자,60676,61531,61713,60695,57785,54083,49929
15,광주광역시,30 - 34세,여자,59784,60726,60578,58658,55100,51463,47143
16,광주광역시,35 - 39세,남자,64982,63396,61221,59349,59272,59224,59244
17,광주광역시,35 - 39세,여자,64086,62237,59894,58162,58365,58695,58907
18,광주광역시,40 - 44세,남자,67135,68139,68826,68398,67526,64223,62346
19,광주광역시,40 - 44세,여자,66649,67750,68749,68065,66831,63905,61762
20,광주광역시,45 - 49세,남자,60933,61545,61364,64348,65707,66878,67392
21,광주광역시,45 - 49세,여자,59981,60506,60573,63796,65109,66251,67229
22,광주광역시,50 - 54세,남자,56630,58163,60002,59917,59321,59097,59919
23,광주광역시,50 - 54세,여자,57797,59242,60504,59645,58636,58119,58993
24,광주광역시,55 - 59세,남자,38481,40357,43401,47001,50141,53976,55274
25,광주광역시,55 - 59세,여자,39750,41729,44865,48491,51687,55731,56828
26,광주광역시,60 - 64세,남자,30500,31054,31213,31613,33632,35865,37568
27,광주광역시,60 - 64세,여자,32491,33032,33174,33799,35972,37970,39783
28,광주광역시,65 - 69세,남자,22564,23334,24021,25510,26742,28084,28552
29,광주광역시,65 - 69세,여자,24994,25675,26580,28172,29483,31317,31744
30,광주광역시,70 - 74세,남자,16574,18103,19398,19663,20226,20429,20918
31,광주광역시,70 - 74세,여자,21606,23007,24097,24266,24743,24296,24668
32,광주광역시,75 - 79세,남자,9705,10400,11251,12174,12861,13814,15313
33,광주광역시,75 - 79세,여자,15798,16608,17445,18274,18960,20060,21458
34,광주광역시,80세이상,남자,6657,7120,7587,8148,9113,10349,11212
35,광주광역시,80세이상,여자,16833,17998,19013,20305,21778,24561,25416
36,광주광역시,80 - 84세,남자,4515,4846,5098,5445,6139,7033,7610
37,광주광역시,80 - 84세,여자,9863,10543,11089,11645,12380,13698,14311
38,광주광역시,85 - 89세,남자,1710,1785,1921,2076,2331,2551,2785
39,광주광역시,85 - 89세,여자,4828,5106,5182,5814,6529,7548,7591
40,광주광역시,90 - 94세,남자,375,429,501,550,551,672,709
41,광주광역시,90 - 94세,여자,1705,1880,2233,2301,2289,2617,2773
42,광주광역시,95 - 99세,남자,55,57,63,74,87,87,102
43,광주광역시,95 - 99세,여자,370,400,445,473,500,615,654
44,광주광역시,100세 이상,남자,2,3,4,3,5,6,6
45,광주광역시,100세 이상,여자,67,69,64,72,80,83,87
