,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,경기도,계,남자,5991599,6060641,6131745,6209792,6282002,6367061,6467424
1,경기도,계,여자,5833711,5913841,5994529,6072221,6141015,6233252,6318366
2,경기도,0 - 4세,남자,322634,323194,319845,316786,315448,310353,301720
3,경기도,0 - 4세,여자,304081,305276,302626,300821,300350,295627,287115
4,경기도,5 - 9세,남자,324066,317821,320320,318386,318939,326497,330113
5,경기도,5 - 9세,여자,302327,297968,301546,299905,300214,308609,312204
6,경기도,10 - 14세,남자,410447,395555,377773,362292,340776,322556,316240
7,경기도,10 - 14세,여자,380617,367318,350185,337130,318414,301683,297733
8,경기도,15 - 19세,남자,435333,433701,426886,417155,409715,401796,388032
9,경기도,15 - 19세,여자,393917,391567,387495,382403,381873,377025,362858
10,경기도,20 - 24세,남자,376762,397506,417966,434033,444235,453892,454816
11,경기도,20 - 24세,여자,345580,361524,377867,389287,392563,398137,398146
12,경기도,25 - 29세,남자,451833,429501,416994,419052,428415,438515,462453
13,경기도,25 - 29세,여자,412256,391850,379041,375750,378036,385097,401186
14,경기도,30 - 34세,남자,516067,526395,533045,531887,513643,496070,479565
15,경기도,30 - 34세,여자,486744,496709,500374,494063,471752,452995,431983
16,경기도,35 - 39세,남자,577486,555776,537450,524777,530344,544073,563169
17,경기도,35 - 39세,여자,547599,528981,513510,500500,503864,514701,530530
18,경기도,40 - 44세,남자,587812,601724,611615,608171,598894,578966,564172
19,경기도,40 - 44세,여자,563065,578205,587001,582215,573087,555440,540370
20,경기도,45 - 49세,남자,540104,543225,537358,558906,568094,584922,602878
21,경기도,45 - 49세,여자,503500,509703,513844,542435,553893,573778,588739
22,경기도,50 - 54세,남자,487902,509287,531608,536868,540892,535265,542333
23,경기도,50 - 54세,여자,457624,479985,502822,508309,512713,509089,518799
24,경기도,55 - 59세,남자,317919,345351,379203,415771,446830,485844,508428
25,경기도,55 - 59세,여자,309526,335422,365777,400247,430565,471289,492801
26,경기도,60 - 64세,남자,214988,225459,236686,252916,282235,317166,344827
27,경기도,60 - 64세,여자,223468,232315,242741,257705,286330,320629,347627
28,경기도,65 - 69세,남자,164771,171504,179336,190203,201703,211876,222816
29,경기도,65 - 69세,여자,188862,194000,199646,208419,219366,229904,238781
30,경기도,70 - 74세,남자,129651,138955,147431,150630,155793,156395,163446
31,경기도,70 - 74세,여자,166114,176257,184998,187486,191248,189448,195340
32,경기도,75 - 79세,남자,79030,86261,93211,100436,106854,114093,124266
33,경기도,75 - 79세,여자,122665,131030,138670,146848,153185,159689,169753
34,경기도,80세이상,남자,54794,59426,65018,71523,79192,88782,98150
35,경기도,80세이상,여자,125766,135731,146386,158698,173562,190112,204401
36,경기도,80 - 84세,남자,35330,38672,42628,46923,52510,59555,65862
37,경기도,80 - 84세,여자,73515,79182,84900,90855,98486,108619,116374
38,경기도,85 - 89세,남자,14739,15361,16092,17629,19160,21382,23931
39,경기도,85 - 89세,여자,36800,39198,41582,46649,51885,55903,60154
40,경기도,90 - 94세,남자,4064,4644,5464,5988,6304,6404,6633
41,경기도,90 - 94세,여자,12548,14057,16343,17409,18696,20451,21953
42,경기도,95 - 99세,남자,592,672,756,896,1102,1319,1590
43,경기도,95 - 99세,여자,2538,2895,3150,3343,3927,4488,5188
44,경기도,100세 이상,남자,69,77,78,87,116,122,134
45,경기도,100세 이상,여자,365,399,411,442,568,651,732
