,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,경상북도,계,남자,1328334,1334532,1337940,1344773,1349606,1355427,1351843
1,경상북도,계,여자,1316658,1321223,1323001,1326149,1328162,1327912,1323285
2,경상북도,0 - 4세,남자,58940,59534,59024,58867,58611,57614,54781
3,경상북도,0 - 4세,여자,54881,55401,55000,54981,54749,53963,51507
4,경상북도,5 - 9세,남자,59602,57544,57201,56097,55933,57034,57360
5,경상북도,5 - 9세,여자,53943,52451,52290,51467,51440,52531,52965
6,경상북도,10 - 14세,남자,82035,78074,73438,69301,63510,58659,56391
7,경상북도,10 - 14세,여자,73176,69502,65090,61469,56599,52791,50978
8,경상북도,15 - 19세,남자,95630,94075,92146,90223,89210,86761,82252
9,경상북도,15 - 19세,여자,79573,79095,78914,76971,76506,74478,70531
10,경상북도,20 - 24세,남자,90411,92772,94475,95403,95712,98485,97134
11,경상북도,20 - 24세,여자,70628,72308,73222,74229,74299,75020,73656
12,경상북도,25 - 29세,남자,91855,88240,85424,84699,84586,84071,84584
13,경상북도,25 - 29세,여자,75371,71137,67819,66156,65429,64519,63508
14,경상북도,30 - 34세,남자,95671,98326,99087,98723,95063,91030,85338
15,경상북도,30 - 34세,여자,84478,86430,86855,85569,82025,77608,71739
16,경상북도,35 - 39세,남자,102209,98660,95219,93050,94273,96163,97606
17,경상북도,35 - 39세,여자,93871,90647,87020,83997,83970,84849,86742
18,경상북도,40 - 44세,남자,109108,110364,110996,109450,107528,103269,99112
19,경상북도,40 - 44세,여자,100539,101395,101511,99874,97947,94866,91128
20,경상북도,45 - 49세,남자,107779,107073,105763,109675,111535,112486,112885
21,경상북도,45 - 49세,여자,100616,99861,98980,102744,103821,104212,104137
22,경상북도,50 - 54세,남자,110393,113371,116739,116673,115431,112533,111202
23,경상북도,50 - 54세,여자,108224,110640,113327,112325,109955,105576,104315
24,경상북도,55 - 59세,남자,87425,91996,96501,102804,108389,115379,117608
25,경상북도,55 - 59세,여자,89839,93494,97010,102289,107719,113814,115619
26,경상북도,60 - 64세,남자,70145,72968,75210,76990,81561,88585,93166
27,경상북도,60 - 64세,여자,72920,76097,78686,81158,86159,92341,95601
28,경상북도,65 - 69세,남자,54782,54703,55187,58835,62703,67581,71374
29,경상북도,65 - 69세,여자,67383,64797,62794,63922,66273,71381,75471
30,경상북도,70 - 74세,남자,51685,53001,54917,54016,52804,49442,49685
31,경상북도,70 - 74세,여자,72620,74143,75440,73749,70940,64453,62185
32,경상북도,75 - 79세,남자,35338,37030,38306,40060,41017,41597,43809
33,경상북도,75 - 79세,여자,58865,60500,62107,64485,65078,65217,67560
34,경상북도,80세이상,남자,25326,26801,28307,29907,31740,34738,37556
35,경상북도,80세이상,여자,59731,63325,66936,70764,75253,80293,85643
36,경상북도,80 - 84세,남자,16428,17478,18638,19880,21650,23943,25673
37,경상북도,80 - 84세,여자,35588,37663,39400,41188,44392,47376,49725
38,경상북도,85 - 89세,남자,6865,7173,7356,7626,7606,8168,9054
39,경상북도,85 - 89세,여자,17126,18004,18995,20673,21659,22960,25053
40,경상북도,90 - 94세,남자,1783,1865,2006,2076,2133,2237,2384
41,경상북도,90 - 94세,여자,5755,6234,6996,7259,7442,8037,8613
42,경상북도,95 - 99세,남자,231,266,290,306,323,358,405
43,경상북도,95 - 99세,여자,1114,1260,1363,1438,1567,1716,2023
44,경상북도,100세 이상,남자,19,19,17,19,28,32,40
45,경상북도,100세 이상,여자,148,164,182,206,193,204,229
