,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,경상남도,계,남자,1651780,1661753,1668122,1683623,1696568,1700617,1698965
1,경상남도,계,여자,1592932,1603742,1609843,1623746,1633662,1637091,1640310
2,경상남도,0 - 4세,남자,83562,84115,82966,82352,82085,79324,75901
3,경상남도,0 - 4세,여자,77893,78672,77390,77021,76880,75095,71796
4,경상남도,5 - 9세,남자,83831,81486,81426,80840,81165,83098,83900
5,경상남도,5 - 9세,여자,75445,73949,74785,75121,75610,77593,78601
6,경상남도,10 - 14세,남자,112461,107078,101028,95958,89197,83133,80794
7,경상남도,10 - 14세,여자,100779,96401,90467,85913,79852,74886,73334
8,경상남도,15 - 19세,남자,122145,121726,118762,115183,112500,108463,102162
9,경상남도,15 - 19세,여자,100616,99783,97984,96063,96323,93052,87862
10,경상남도,20 - 24세,남자,100355,105967,111516,115411,117539,118590,116277
11,경상남도,20 - 24세,여자,74915,79135,83614,86716,86780,87707,85871
12,경상남도,25 - 29세,남자,117471,109803,105368,105975,108567,107812,107272
13,경상남도,25 - 29세,여자,95837,89268,83971,82110,82919,82191,83134
14,경상남도,30 - 34세,남자,133481,136981,137643,136906,132542,126179,117854
15,경상남도,30 - 34세,여자,115767,118629,118965,117457,111663,104722,97469
16,경상남도,35 - 39세,남자,143906,138297,133374,131400,133239,136338,139200
17,경상남도,35 - 39세,여자,130936,125586,120480,117830,118671,120601,123594
18,경상남도,40 - 44세,남자,150549,152319,153579,152097,149437,143966,138125
19,경상남도,40 - 44세,여자,140446,142117,142861,140889,137889,132982,127775
20,경상남도,45 - 49세,남자,141256,140997,138585,145234,148057,150121,152040
21,경상남도,45 - 49세,여자,130532,130470,130135,137744,140642,143149,144398
22,경상남도,50 - 54세,남자,138508,142685,146701,145479,144385,141098,141231
23,경상남도,50 - 54세,여자,131791,136156,140059,138791,137752,132916,133092
24,경상남도,55 - 59세,남자,99938,106093,113985,122695,129235,138774,142719
25,경상남도,55 - 59세,여자,98766,104390,111176,119702,125954,135539,139780
26,경상남도,60 - 64세,남자,74001,77719,79776,82875,89925,98162,105169
27,경상남도,60 - 64세,여자,76809,79978,82031,84735,91741,100166,106602
28,경상남도,65 - 69세,남자,54073,55195,57490,61843,65548,70582,74585
29,경상남도,65 - 69세,여자,66411,65560,65506,68143,70606,75849,79213
30,경상남도,70 - 74세,남자,45780,47518,49469,49633,50377,48354,50083
31,경상남도,70 - 74세,여자,67489,69004,70514,69253,68185,63661,63152
32,경상남도,75 - 79세,남자,29984,31764,33095,34635,36095,37535,39665
33,경상남도,75 - 79세,여자,54676,56377,57665,59720,61087,61829,63903
34,경상남도,80세이상,남자,20479,22010,23359,25107,26675,29088,31988
35,경상남도,80세이상,여자,53824,58267,62240,66538,71108,75153,80734
36,경상남도,80 - 84세,남자,13879,14892,15789,16928,18206,20128,21988
37,경상남도,80 - 84세,여자,33283,36128,38161,40125,42578,44612,47036
38,경상남도,85 - 89세,남자,5232,5604,5894,6330,6547,6924,7797
39,경상남도,85 - 89세,여자,15316,16304,17362,19188,20683,22132,24393
40,경상남도,90 - 94세,남자,1223,1343,1468,1604,1653,1748,1888
41,경상남도,90 - 94세,여자,4279,4806,5636,6099,6635,7039,7678
42,경상남도,95 - 99세,남자,134,159,194,226,253,269,293
43,경상남도,95 - 99세,여자,835,904,953,988,1071,1211,1445
44,경상남도,100세 이상,남자,11,12,14,19,16,19,22
45,경상남도,100세 이상,여자,111,125,128,138,141,159,182
