,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,인천광역시,계,남자,1394025,1411329,1427323,1442354,1451459,1463157,1470977
1,인천광역시,계,여자,1360714,1382425,1402285,1419887,1431409,1444209,1452882
2,인천광역시,0 - 4세,남자,68215,69866,70088,70019,69984,68455,65298
3,인천광역시,0 - 4세,여자,64151,66013,66280,66210,66351,65041,62361
4,인천광역시,5 - 9세,남자,67743,66883,67947,67721,68011,69960,70097
5,인천광역시,5 - 9세,여자,63369,62746,63921,63913,64577,66228,66623
6,인천광역시,10 - 14세,남자,91026,86629,82155,78150,73011,68769,67198
7,인천광역시,10 - 14세,여자,83875,80071,76096,72981,68401,64666,63208
8,인천광역시,15 - 19세,남자,104904,103357,100193,96728,93327,90249,85950
9,인천광역시,15 - 19세,여자,94620,92758,90116,87762,86519,84015,80210
10,인천광역시,20 - 24세,남자,93798,97832,102299,104918,106460,106923,105527
11,인천광역시,20 - 24세,여자,85404,89122,93010,95097,94641,94868,93575
12,인천광역시,25 - 29세,남자,108635,103168,99783,99262,99917,101485,106000
13,인천광역시,25 - 29세,여자,99772,95442,92221,90980,91708,92594,96086
14,인천광역시,30 - 34세,남자,118386,122970,125199,124863,119633,114543,108764
15,인천광역시,30 - 34세,여자,107609,112789,115425,115375,109958,104918,99142
16,인천광역시,35 - 39세,남자,125907,122691,119891,118269,120162,123732,127309
17,인천광역시,35 - 39세,여자,116828,113609,111141,109304,110901,114492,117552
18,인천광역시,40 - 44세,남자,129009,131329,133590,133088,131091,126963,122801
19,인천광역시,40 - 44세,여자,126752,128643,129764,127622,124852,120345,116108
20,인천광역시,45 - 49세,남자,129126,127486,124003,127097,127358,129649,131724
21,인천광역시,45 - 49세,여자,125674,124990,123753,128522,128630,130712,131786
22,인천광역시,50 - 54세,남자,123394,128484,133030,132909,131465,127652,126347
23,인천광역시,50 - 54세,여자,118151,123974,128889,129400,129084,126237,125907
24,인천광역시,55 - 59세,남자,80637,87658,95946,105142,112550,121944,126176
25,인천광역시,55 - 59세,여자,78232,85220,93677,102755,110066,119335,124065
26,인천광역시,60 - 64세,남자,55109,57538,60245,63792,70135,78396,84852
27,인천광역시,60 - 64세,여자,54563,56905,59615,63432,70659,79130,85764
28,인천광역시,65 - 69세,남자,39714,41938,44212,47191,50709,53003,55256
29,인천광역시,65 - 69세,여자,43812,45579,47233,50057,53210,55550,57298
30,인천광역시,70 - 74세,남자,28776,31360,33848,35188,36677,37017,38957
31,인천광역시,70 - 74세,여자,38330,40677,42999,43422,44325,43971,45622
32,인천광역시,75 - 79세,남자,17203,18753,20366,22200,23554,24972,27476
33,인천광역시,75 - 79세,여자,29110,30798,32500,34478,35629,36906,39234
34,인천광역시,80세이상,남자,12443,13387,14528,15817,17415,19445,21245
35,인천광역시,80세이상,여자,30462,33089,35645,38577,41898,45201,48341
36,인천광역시,80 - 84세,남자,7795,8525,9363,10142,11335,12925,14206
37,인천광역시,80 - 84세,여자,17951,19440,20780,22043,23717,25574,27161
38,인천광역시,85 - 89세,남자,3462,3558,3630,4000,4315,4684,5135
39,인천광역시,85 - 89세,여자,8900,9547,10216,11472,12589,13572,14532
40,인천광역시,90 - 94세,남자,1022,1117,1326,1425,1446,1482,1509
41,인천광역시,90 - 94세,여자,2960,3343,3786,4126,4496,4823,5263
42,인천광역시,95 - 99세,남자,147,168,188,227,295,317,360
43,인천광역시,95 - 99세,여자,570,666,761,826,967,1091,1229
44,인천광역시,100세 이상,남자,17,19,21,23,24,37,35
45,인천광역시,100세 이상,여자,81,93,102,110,129,141,156
