,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,제주특별자치도,계,남자,277692,281398,286074,293154,301539,311239,320329
1,제주특별자치도,계,여자,276153,279420,283960,290181,297713,306880,314590
2,제주특별자치도,0 - 4세,남자,15032,15099,14996,15343,15509,15730,15429
3,제주특별자치도,0 - 4세,여자,14050,14163,14229,14459,14813,14908,14656
4,제주특별자치도,5 - 9세,남자,16710,16220,16207,16225,16501,17099,17487
5,제주특별자치도,5 - 9세,여자,14760,14590,14739,14910,15202,15975,16380
6,제주특별자치도,10 - 14세,남자,21495,20760,19995,19472,18519,17821,17572
7,제주특별자치도,10 - 14세,여자,19553,18855,18097,17441,16546,15714,15756
8,제주특별자치도,15 - 19세,남자,21609,21842,21636,21062,20948,20635,19952
9,제주특별자치도,15 - 19세,여자,19096,19031,18764,18519,18712,18584,17860
10,제주특별자치도,20 - 24세,남자,16173,17130,18360,19581,20561,21216,21924
11,제주특별자치도,20 - 24세,여자,14015,14859,16128,17102,17419,17849,18162
12,제주특별자치도,25 - 29세,남자,17343,16430,16058,16277,16913,17668,19097
13,제주특별자치도,25 - 29세,여자,16244,15218,14543,14647,15384,16104,17045
14,제주특별자치도,30 - 34세,남자,19773,20360,20808,21288,21365,20925,20334
15,제주특별자치도,30 - 34세,여자,18644,19267,19695,20023,19782,19542,19094
16,제주특별자치도,35 - 39세,남자,23922,23165,22421,22124,22862,24216,25415
17,제주특별자치도,35 - 39세,여자,22413,21317,20599,20298,21263,22852,24211
18,제주특별자치도,40 - 44세,남자,25826,26441,27157,27469,27862,27675,27530
19,제주특별자치도,40 - 44세,여자,24001,24917,25649,25971,25903,25477,25148
20,제주특별자치도,45 - 49세,남자,23662,24181,24350,25688,27070,28481,30175
21,제주특별자치도,45 - 49세,여자,21750,22049,22242,23515,24663,26013,27706
22,제주특별자치도,50 - 54세,남자,21419,22180,23340,24147,24568,25870,26718
23,제주특별자치도,50 - 54세,여자,20595,21300,22379,22791,23181,24036,24569
24,제주특별자치도,55 - 59세,남자,15284,16576,18176,19946,21356,22879,24281
25,제주특별자치도,55 - 59세,여자,15256,16473,17844,19529,20690,22288,23475
26,제주특별자치도,60 - 64세,남자,12480,12545,12562,12946,14505,16189,17807
27,제주특별자치도,60 - 64세,여자,12827,12882,12990,13435,14995,16679,18052
28,제주특별자치도,65 - 69세,남자,10432,10748,11112,11649,11893,12451,12746
29,제주특별자치도,65 - 69세,여자,11575,11750,11981,12342,12838,13379,13605
30,제주특별자치도,70 - 74세,남자,8351,8799,9194,9310,9606,9821,10160
31,제주특별자치도,70 - 74세,여자,11012,11394,11741,11686,11697,11551,11808
32,제주특별자치도,75 - 79세,남자,5199,5648,6007,6422,6747,7106,7655
33,제주특별자치도,75 - 79세,여자,9146,9514,9658,9958,10289,10650,10977
34,제주특별자치도,80세이상,남자,2982,3274,3695,4205,4754,5457,6047
35,제주특별자치도,80세이상,여자,11216,11841,12682,13555,14336,15279,16086
36,제주특별자치도,80 - 84세,남자,1917,2197,2572,3035,3473,3992,4352
37,제주특별자치도,80 - 84세,여자,5804,6296,6897,7467,7839,8418,8643
38,제주특별자치도,85 - 89세,남자,774,751,760,800,917,1087,1311
39,제주특별자치도,85 - 89세,여자,3476,3388,3106,3409,3910,4256,4790
40,제주특별자치도,90 - 94세,남자,242,275,307,310,296,316,301
41,제주특별자치도,90 - 94세,여자,1457,1628,2128,2124,2010,1945,1874
42,제주특별자치도,95 - 99세,남자,45,46,50,55,60,55,77
43,제주특별자치도,95 - 99세,여자,414,460,481,483,485,570,671
44,제주특별자치도,100세 이상,남자,4,5,6,5,8,7,6
45,제주특별자치도,100세 이상,여자,65,69,70,72,92,90,108
