,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,전라북도,계,남자,896178,902355,905581,911507,916353,916567,912675
1,전라북도,계,여자,912555,915075,915388,917930,918772,918676,915852
2,전라북도,0 - 4세,남자,41194,41451,40800,40344,39814,38420,36243
3,전라북도,0 - 4세,여자,38577,38740,38316,37990,37654,36191,34087
4,전라북도,5 - 9세,남자,44444,42738,42143,41387,40849,41380,41468
5,전라북도,5 - 9세,여자,41274,39666,39223,38535,38209,38879,39167
6,전라북도,10 - 14세,남자,61832,58945,55651,52148,48520,44821,43221
7,전라북도,10 - 14세,여자,57431,54838,51643,48787,45025,41353,39854
8,전라북도,15 - 19세,남자,69837,69745,68877,67626,66520,65248,62242
9,전라북도,15 - 19세,여자,62004,61912,61264,59901,59038,58221,55200
10,전라북도,20 - 24세,남자,60660,62827,64925,67541,68906,70457,70546
11,전라북도,20 - 24세,여자,50255,51886,53359,55039,56541,57780,57375
12,전라북도,25 - 29세,남자,57214,55237,53136,52063,52613,52401,52962
13,전라북도,25 - 29세,여자,50467,48083,46011,45159,44962,44534,44976
14,전라북도,30 - 34세,남자,59428,60741,60740,60809,58557,55411,51562
15,전라북도,30 - 34세,여자,56055,56871,56330,55539,53273,50526,47238
16,전라북도,35 - 39세,남자,68349,66163,63952,61980,62231,62318,62155
17,전라북도,35 - 39세,여자,65142,62924,60551,58325,58093,57944,58568
18,전라북도,40 - 44세,남자,73121,74676,76150,75911,75247,71939,68722
19,전라북도,40 - 44세,여자,68950,70090,71194,70717,69857,67419,64757
20,전라북도,45 - 49세,남자,70617,71109,70469,74173,75677,76902,77532
21,전라북도,45 - 49세,여자,67441,67134,66531,69710,70554,71488,71890
22,전라북도,50 - 54세,남자,71848,73625,75740,75698,75113,73171,73485
23,전라북도,50 - 54세,여자,72153,73660,74777,73671,71474,68850,68987
24,전라북도,55 - 59세,남자,55225,58261,62493,66158,69341,73735,74939
25,전라북도,55 - 59세,여자,56581,58888,62575,66187,69276,73756,75034
26,전라북도,60 - 64세,남자,48766,48519,48155,49917,52727,55705,58157
27,전라북도,60 - 64세,여자,51831,51448,50650,52041,54210,56762,59049
28,전라북도,65 - 69세,남자,38073,38786,39698,41560,44582,46952,46934
29,전라북도,65 - 69세,여자,46199,45214,44746,45888,48746,50964,50894
30,전라북도,70 - 74세,남자,34053,35699,36763,35848,35479,35184,35733
31,전라북도,70 - 74세,여자,47438,49286,50220,48659,47088,45357,43896
32,전라북도,75 - 79세,남자,24154,25347,26220,27201,27444,27771,30081
33,전라북도,75 - 79세,여자,40256,41406,42259,43119,43010,42838,45667
34,전라북도,80세이상,남자,17363,18486,19669,21143,22733,24752,26693
35,전라북도,80세이상,여자,40501,43029,45739,48663,51762,55814,59213
36,전라북도,80 - 84세,남자,11712,12401,13069,13960,15239,16727,18044
37,전라북도,80 - 84세,여자,24392,25805,27015,28624,30528,32604,34104
38,전라북도,85 - 89세,남자,4438,4746,5031,5497,5772,6202,6632
39,전라북도,85 - 89세,여자,11114,11815,12612,13717,15025,16599,17785
40,전라북도,90 - 94세,남자,1056,1176,1385,1476,1488,1555,1690
41,전라북도,90 - 94세,여자,4012,4331,4961,5095,4936,5158,5719
42,전라북도,95 - 99세,남자,146,152,170,194,218,248,303
43,전라북도,95 - 99세,여자,836,927,997,1068,1135,1300,1422
44,전라북도,100세 이상,남자,11,11,14,16,16,20,24
45,전라북도,100세 이상,여자,147,151,154,159,138,153,183
