,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,전라남도,계,남자,881745,885977,888449,894525,899920,902337,900464
1,전라남도,계,여자,896848,896384,895447,897362,896658,895973,894572
2,전라남도,0 - 4세,남자,39600,40094,39859,39729,39572,38524,37074
3,전라남도,0 - 4세,여자,37376,38199,38280,38177,38295,37227,35391
4,전라남도,5 - 9세,남자,41989,39978,39302,38293,38443,39387,39953
5,전라남도,5 - 9세,여자,38907,37280,36759,36102,36013,37136,38023
6,전라남도,10 - 14세,남자,59884,56839,53123,49828,45627,41933,40177
7,전라남도,10 - 14세,여자,54860,52169,48645,45467,41768,38701,37485
8,전라남도,15 - 19세,남자,62878,63123,62423,61324,59571,58631,55476
9,전라남도,15 - 19세,여자,54727,53883,52520,51343,51654,50221,47461
10,전라남도,20 - 24세,남자,47119,50111,52587,54727,56199,58316,57901
11,전라남도,20 - 24세,여자,35482,38344,41611,43393,42235,43149,41902
12,전라남도,25 - 29세,남자,48367,46074,44007,44191,45541,46227,46020
13,전라남도,25 - 29세,여자,41796,39578,37736,37628,38783,38809,38742
14,전라남도,30 - 34세,남자,55220,56555,57450,57606,56345,53857,50132
15,전라남도,30 - 34세,여자,49935,50618,50874,50736,49039,47322,44764
16,전라남도,35 - 39세,남자,64501,62096,59753,58338,59750,60848,61474
17,전라남도,35 - 39세,여자,57897,55647,53387,52203,53097,53861,54691
18,전라남도,40 - 44세,남자,72636,73439,74198,73408,72245,68590,65889
19,전라남도,40 - 44세,여자,63857,64637,65067,64058,62516,60056,58215
20,전라남도,45 - 49세,남자,72447,73424,73034,76339,77514,77301,77456
21,전라남도,45 - 49세,여자,64885,64348,63631,65927,66796,67089,67544
22,전라남도,50 - 54세,남자,73013,74916,77060,77206,76566,76216,76999
23,전라남도,50 - 54세,여자,70615,71950,73266,72275,69913,67948,67561
24,전라남도,55 - 59세,남자,56570,58647,62714,67641,71477,76006,77654
25,전라남도,55 - 59세,여자,56762,57831,61048,65376,68873,73776,74987
26,전라남도,60 - 64세,남자,52312,52334,51637,51881,53986,56158,58363
27,전라남도,60 - 64세,여자,54909,54306,53149,53138,55100,56898,58553
28,전라남도,65 - 69세,남자,43718,43641,43627,45809,47767,50131,51103
29,전라남도,65 - 69세,여자,53765,52182,50450,51376,51814,53564,53850
30,전라남도,70 - 74세,남자,42248,43345,44274,42770,41860,40057,40034
31,전라남도,70 - 74세,여자,60084,60806,61021,58424,56128,52492,50891
32,전라남도,75 - 79세,남자,28107,29296,30402,31402,32436,33551,35799
33,전라남도,75 - 79세,여자,48952,49829,50785,51704,52383,52998,55329
34,전라남도,80세이상,남자,21136,22065,22999,24033,25021,26604,28960
35,전라남도,80세이상,여자,52039,54777,57218,60035,62251,64726,69183
36,전라남도,80 - 84세,남자,14100,14755,15448,16061,16715,17828,19460
37,전라남도,80 - 84세,여자,31086,32974,34647,36113,36596,37525,39429
38,전라남도,85 - 89세,남자,5590,5715,5729,6048,6401,6765,7350
39,전라남도,85 - 89세,여자,14722,15055,14918,16028,18197,19482,21345
40,전라남도,90 - 94세,남자,1258,1383,1602,1686,1664,1721,1806
41,전라남도,90 - 94세,여자,4951,5352,6221,6406,5987,6122,6585
42,전라남도,95 - 99세,남자,171,197,206,221,219,265,322
43,전라남도,95 - 99세,여자,1106,1214,1240,1286,1287,1408,1612
44,전라남도,100세 이상,남자,17,15,14,17,22,25,22
45,전라남도,100세 이상,여자,174,182,192,202,184,189,212
