,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,세종특별자치시,계,남자,-,52900,61123,68048,94881,118560,133811
1,세종특별자치시,계,여자,-,49257,57340,64389,92321,115850,131706
2,세종특별자치시,0 - 4세,남자,-,2275,3074,3563,6402,8323,9372
3,세종특별자치시,0 - 4세,여자,-,2298,2994,3538,6067,7774,8817
4,세종특별자치시,5 - 9세,남자,-,2196,3061,3629,6226,8347,9793
5,세종특별자치시,5 - 9세,여자,-,2165,3022,3526,6112,8204,9512
6,세종특별자치시,10 - 14세,남자,-,2650,3315,3655,5507,6809,7973
7,세종특별자치시,10 - 14세,여자,-,2634,3220,3485,5293,6767,7919
8,세종특별자치시,15 - 19세,남자,-,4089,4295,4540,5898,7223,7960
9,세종특별자치시,15 - 19세,여자,-,3819,4147,4537,5793,6974,7755
10,세종특별자치시,20 - 24세,남자,-,5421,5840,6197,7406,9283,9564
11,세종특별자치시,20 - 24세,여자,-,3731,4127,4676,6040,7439,7893
12,세종특별자치시,25 - 29세,남자,-,3787,4196,4724,6102,7521,8338
13,세종특별자치시,25 - 29세,여자,-,2534,2784,3238,4909,6563,7577
14,세종특별자치시,30 - 34세,남자,-,3840,4525,5068,7536,9517,10136
15,세종특별자치시,30 - 34세,여자,-,3145,4029,4804,8064,9992,10786
16,세종특별자치시,35 - 39세,남자,-,4060,4899,5440,8841,11740,13641
17,세종특별자치시,35 - 39세,여자,-,3257,4333,5050,8917,11981,14276
18,세종특별자치시,40 - 44세,남자,-,4141,5418,6310,9668,11948,13366
19,세종특별자치시,40 - 44세,여자,-,3297,4319,5142,8420,10798,12380
20,세종특별자치시,45 - 49세,남자,-,3788,4302,5260,7270,9618,11604
21,세종특별자치시,45 - 49세,여자,-,3290,3703,4345,6096,8089,9852
22,세종특별자치시,50 - 54세,남자,-,4167,4662,5006,6388,7265,8275
23,세종특별자치시,50 - 54세,여자,-,3788,4253,4482,5655,6593,7491
24,세종특별자치시,55 - 59세,남자,-,3404,3879,4328,5422,6776,7765
25,세종특별자치시,55 - 59세,여자,-,3335,3644,4039,5201,6601,7492
26,세종특별자치시,60 - 64세,남자,-,2567,2781,2989,3827,4830,5654
27,세종특별자치시,60 - 64세,여자,-,2627,2850,3090,3890,4970,5766
28,세종특별자치시,65 - 69세,남자,-,2038,2069,2249,2805,3360,3782
29,세종특별자치시,65 - 69세,여자,-,2334,2381,2513,3020,3596,4041
30,세종특별자치시,70 - 74세,남자,-,1979,2150,2183,2312,2441,2620
31,세종특별자치시,70 - 74세,여자,-,2595,2779,2778,2958,3007,3120
32,세종특별자치시,75 - 79세,남자,-,1475,1551,1662,1804,1925,2101
33,세종특별자치시,75 - 79세,여자,-,2166,2225,2363,2628,2827,3046
34,세종특별자치시,80세이상,남자,-,1023,1106,1245,1467,1634,1867
35,세종특별자치시,80세이상,여자,-,2242,2530,2783,3258,3675,3983
36,세종특별자치시,80 - 84세,남자,-,673,731,822,982,1103,1262
37,세종특별자치시,80 - 84세,여자,-,1354,1516,1638,1882,2125,2257
38,세종특별자치시,85 - 89세,남자,-,268,268,302,357,414,473
39,세종특별자치시,85 - 89세,여자,-,621,690,803,977,1100,1216
40,세종특별자치시,90 - 94세,남자,-,69,90,110,112,105,113
41,세종특별자치시,90 - 94세,여자,-,209,263,271,329,357,405
42,세종특별자치시,95 - 99세,남자,-,12,15,8,14,12,19
43,세종특별자치시,95 - 99세,여자,-,52,52,59,58,75,86
44,세종특별자치시,100세 이상,남자,-,1,2,3,2,0,0
45,세종특별자치시,100세 이상,여자,-,6,9,12,12,18,19
