,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,서울특별시,계,남자,4977967,4951465,4918124,4904120,4881464,4820273,4772820
1,서울특별시,계,여자,5094268,5084808,5071886,5071043,5059698,5022228,4993579
2,서울특별시,0 - 4세,남자,212233,212515,208920,206785,205349,197425,186334
3,서울특별시,0 - 4세,여자,202339,202215,198881,196310,194605,188049,178082
4,서울특별시,5 - 9세,남자,209037,201845,199708,194338,191566,191285,188052
5,서울특별시,5 - 9세,여자,195187,189163,187357,182938,180786,181287,178245
6,서울특별시,10 - 14세,남자,278627,262408,245319,231871,215202,199316,191620
7,서울특별시,10 - 14세,여자,256927,242212,227111,215645,201343,186800,179784
8,서울특별시,15 - 19세,남자,333003,323891,311407,297610,285000,272466,257176
9,서울특별시,15 - 19세,여자,304342,299613,292612,283970,274250,265092,251572
10,서울특별시,20 - 24세,남자,342020,343886,347198,350757,352586,350200,341868
11,서울특별시,20 - 24세,여자,348839,347712,349633,354288,358686,361795,360801
12,서울특별시,25 - 29세,남자,451189,421888,398299,385578,380598,373636,379973
13,서울특별시,25 - 29세,여자,462591,435116,412140,397664,389798,384134,389787
14,서울특별시,30 - 34세,남자,466134,473095,472819,465242,441482,413367,389712
15,서울특별시,30 - 34세,여자,451413,461510,462982,455738,431869,409130,387802
16,서울특별시,35 - 39세,남자,452059,430609,411016,399158,399726,402714,407881
17,서울특별시,35 - 39세,여자,429041,411903,396906,387147,389940,393548,398336
18,서울특별시,40 - 44세,남자,433076,441793,445806,440853,429538,406480,385010
19,서울특별시,40 - 44세,여자,433399,440659,443116,436197,424056,402056,382798
20,서울특별시,45 - 49세,남자,405179,400119,389643,399876,404836,411275,417339
21,서울특별시,45 - 49세,여자,416322,409580,400949,412027,415184,422676,427313
22,서울특별시,50 - 54세,남자,408920,409258,410790,405130,398053,383625,376321
23,서울특별시,50 - 54세,여자,445934,443084,441625,431365,418106,397786,390918
24,서울특별시,55 - 59세,남자,320455,332996,348005,364078,371417,380733,378983
25,서울특별시,55 - 59세,여자,347637,363296,380168,397253,406439,418086,413227
26,서울특별시,60 - 64세,남자,241772,245233,249221,256601,273142,290453,301591
27,서울특별시,60 - 64세,여자,257419,262602,268372,277897,298770,319969,333766
28,서울특별시,65 - 69세,남자,184007,187985,192352,200870,208976,213363,214892
29,서울특별시,65 - 69세,여자,193554,201684,210183,220872,231968,237738,240278
30,서울특별시,70 - 74세,남자,128082,140773,152418,156566,160985,157597,160942
31,서울특별시,70 - 74세,여자,147356,158855,170065,175520,180882,178461,184963
32,서울특별시,75 - 79세,남자,67326,74531,81924,90397,97899,104472,115402
33,서울특별시,75 - 79세,여자,98675,105706,112498,120785,127529,132857,143064
34,서울특별시,80세이상,남자,44848,48640,53279,58410,65109,71866,79724
35,서울특별시,80세이상,여자,103293,109898,117288,125427,135487,142764,152843
36,서울특별시,80 - 84세,남자,28944,31717,35077,38337,43318,48815,54287
37,서울특별시,80 - 84세,여자,59996,63589,67324,71061,76942,82065,87950
38,서울특별시,85 - 89세,남자,11866,12391,12993,14385,15771,16985,18978
39,서울특별시,85 - 89세,여자,29965,31849,33759,37186,40561,41971,44451
40,서울특별시,90 - 94세,남자,3396,3826,4434,4816,4970,4920,5170
41,서울특별시,90 - 94세,여자,10544,11399,12996,13839,14478,14964,16182
42,서울특별시,95 - 99세,남자,572,629,693,779,949,1048,1170
43,서울특별시,95 - 99세,여자,2444,2700,2842,2946,3059,3267,3721
44,서울특별시,100세 이상,남자,70,77,82,93,101,98,119
45,서울특별시,100세 이상,여자,344,361,367,395,447,497,539
