,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,울산광역시,계,남자,578008,584553,591049,598273,605412,605913,600998
1,울산광역시,계,여자,534071,540106,546423,552898,558307,560289,557789
2,울산광역시,0 - 4세,남자,29760,30148,30255,30408,30806,30171,28791
3,울산광역시,0 - 4세,여자,27365,27843,28236,28640,29025,28533,27331
4,울산광역시,5 - 9세,남자,29451,28774,28832,28800,29059,29910,30036
5,울산광역시,5 - 9세,여자,26388,25978,26306,26371,26735,27574,27744
6,울산광역시,10 - 14세,남자,42070,39545,36745,34455,31798,29384,28531
7,울산광역시,10 - 14세,여자,36967,35044,32512,30656,28257,26403,25641
8,울산광역시,15 - 19세,남자,47663,47205,46078,44308,42613,40613,37555
9,울산광역시,15 - 19세,여자,37528,37169,36244,35115,34857,33248,31200
10,울산광역시,20 - 24세,남자,36628,40079,43259,45163,46289,46328,44891
11,울산광역시,20 - 24세,여자,26497,28421,31268,33196,33206,33069,32252
12,울산광역시,25 - 29세,남자,41421,39604,38920,40171,42747,43377,43114
13,울산광역시,25 - 29세,여자,35948,33709,32010,31584,32417,32782,32897
14,울산광역시,30 - 34세,남자,48698,50526,51446,51455,49827,47244,43808
15,울산광역시,30 - 34세,여자,42491,44198,45080,44910,42919,40609,37341
16,울산광역시,35 - 39세,남자,49529,48047,47297,47279,48848,50339,51302
17,울산광역시,35 - 39세,여자,47749,45546,43947,43002,43596,44645,45898
18,울산광역시,40 - 44세,남자,54887,54694,54295,53096,51946,49700,47786
19,울산광역시,40 - 44세,여자,54987,55024,54567,52831,51118,48663,45829
20,울산광역시,45 - 49세,남자,56619,56136,55058,56346,56170,55003,54291
21,울산광역시,45 - 49세,여자,51317,51785,52034,54605,55384,55528,55180
22,울산광역시,50 - 54세,남자,51742,53754,55780,55833,56037,55298,54875
23,울산광역시,50 - 54세,여자,48328,50029,51660,51704,51954,50945,51229
24,울산광역시,55 - 59세,남자,35202,37610,40364,43684,46348,49974,51758
25,울산광역시,55 - 59세,여자,32365,35033,38006,41283,43894,47524,48789
26,울산광역시,60 - 64세,남자,22885,24538,25926,27408,30013,32648,34717
27,울산광역시,60 - 64세,여자,20602,22287,23839,25526,28386,31436,33890
28,울산광역시,65 - 69세,남자,13978,14798,15771,17407,18875,20814,22316
29,울산광역시,65 - 69세,여자,14579,15038,15666,16813,18139,19893,21403
30,울산광역시,70 - 74세,남자,9444,10357,11505,11921,12480,12394,13138
31,울산광역시,70 - 74세,여자,12074,12924,13827,14230,14570,14071,14465
32,울산광역시,75 - 79세,남자,4986,5431,5913,6534,7094,7702,8557
33,울산광역시,75 - 79세,여자,9020,9587,10124,10560,11199,11630,12158
34,울산광역시,80세이상,남자,3045,3307,3605,4005,4462,5014,5532
35,울산광역시,80세이상,여자,9866,10491,11097,11872,12651,13736,14542
36,울산광역시,80 - 84세,남자,2089,2291,2538,2821,3199,3583,3951
37,울산광역시,80 - 84세,여자,5775,6066,6374,6815,7270,7975,8384
38,울산광역시,85 - 89세,남자,724,772,817,902,972,1111,1260
39,울산광역시,85 - 89세,여자,2985,3209,3338,3575,3804,4043,4264
40,울산광역시,90 - 94세,남자,202,213,217,242,239,265,263
41,울산광역시,90 - 94세,여자,911,987,1152,1250,1312,1419,1545
42,울산광역시,95 - 99세,남자,30,30,32,38,48,53,55
43,울산광역시,95 - 99세,여자,174,208,210,206,230,266,311
44,울산광역시,100세 이상,남자,0,1,1,2,4,2,3
45,울산광역시,100세 이상,여자,21,21,23,26,35,33,38
