,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,전국,계,남자,25069867,25187380,25285319,25445077,25585894,25670949,25736793
1,전국,계,여자,24866771,25012473,25143574,25301582,25429053,25546854,25625118
2,전국,0 - 4세,남자,1193656,1200629,1188302,1179604,1175609,1148547,1102364
3,전국,0 - 4세,여자,1121917,1130292,1121025,1115412,1114488,1091563,1048855
4,전국,5 - 9세,남자,1214418,1180798,1179593,1163582,1161732,1183575,1188607
5,전국,5 - 9세,여자,1121978,1096153,1100229,1088920,1089368,1113571,1120380
6,전국,10 - 14세,남자,1630159,1550478,1464013,1389826,1294946,1209141,1173575
7,전국,10 - 14세,여자,1489332,1418881,1339075,1276349,1193740,1118166,1090502
8,전국,15 - 19세,남자,1842937,1821485,1779769,1728466,1684718,1632747,1554471
9,전국,15 - 19세,여자,1625599,1614091,1593281,1561263,1537550,1499457,1427984
10,전국,20 - 24세,남자,1678222,1734689,1794501,1844096,1877884,1903218,1882066
11,전국,20 - 24세,여자,1497451,1534260,1576405,1613309,1634084,1656631,1647591
12,전국,25 - 29세,남자,1909497,1808875,1734720,1714497,1730403,1739228,1791765
13,전국,25 - 29세,여자,1755305,1655989,1580535,1544633,1539051,1540583,1576396
14,전국,30 - 34세,남자,2049481,2094985,2111042,2096735,2015092,1922760,1825165
15,전국,30 - 34세,여자,1917946,1963703,1975213,1948719,1856510,1765495,1666377
16,전국,35 - 39세,남자,2181088,2101052,2028863,1982864,2004556,2044466,2089929
17,전국,35 - 39세,여자,2060239,1986641,1920853,1871522,1887544,1920219,1964371
18,전국,40 - 44세,남자,2240870,2279295,2305325,2286346,2248961,2160777,2083256
19,전국,40 - 44세,여자,2168151,2204694,2222650,2193282,2149420,2069252,1995148
20,전국,45 - 49세,남자,2133627,2124531,2089888,2169125,2199587,2241597,2278705
21,전국,45 - 49세,여자,2057463,2048855,2035425,2125961,2154449,2200173,2228237
22,전국,50 - 54세,남자,2085550,2136013,2190098,2180821,2165419,2112259,2107628
23,전국,50 - 54세,여자,2078358,2127006,2174567,2153964,2123620,2058038,2056212
24,전국,55 - 59세,남자,1519137,1608745,1719950,1841582,1932408,2054239,2102223
25,전국,55 - 59세,여자,1546118,1633180,1737360,1857434,1951809,2080676,2123676
26,전국,60 - 64세,남자,1126838,1164089,1195750,1243960,1345931,1466124,1554982
27,전국,60 - 64세,여자,1176122,1213715,1247802,1297261,1404900,1528218,1615386
28,전국,65 - 69세,남자,863928,883241,908072,958234,1009632,1059400,1098706
29,전국,65 - 69세,여자,982408,991450,1006436,1047495,1095999,1150604,1187813
30,전국,70 - 74세,남자,689761,733285,775208,783053,796175,780645,800334
31,전국,70 - 74세,여자,897257,940767,979241,980699,983369,948477,956466
32,전국,75 - 79세,남자,422066,454917,485151,518840,546349,573514,620799
33,전국,75 - 79세,여자,679260,712482,743323,779558,804154,826652,873516
34,전국,80세이상,남자,288632,310273,335074,363446,396492,438712,482218
35,전국,80세이상,여자,691867,740314,790154,845801,908998,979079,1046208
36,전국,80 - 84세,남자,189129,204670,222240,241136,266996,299295,328523
37,전국,80 - 84세,여자,410686,438974,465166,491882,526920,567927,601756
38,전국,85 - 89세,남자,76453,79849,83433,90390,96002,104270,115958
39,전국,85 - 89세,여자,198879,210619,221824,244965,267549,287025,309209
40,전국,90 - 94세,남자,19834,22157,25415,27414,28260,29319,30906
41,전국,90 - 94세,여자,66212,72887,84211,88979,92698,99590,107174
42,전국,95 - 99세,남자,2917,3268,3632,4108,4790,5352,6289
43,전국,95 - 99세,여자,14049,15652,16689,17537,19133,21534,24744
44,전국,100세 이상,남자,299,329,354,398,444,476,542
45,전국,100세 이상,여자,2041,2182,2264,2438,2698,3003,3325
