,area,man_01,man_02,man_03,man_04,man_05,man_06,man_07,man_08,man_09,man_10,man_11,man_12
0,전국  (0000000000),10088510,10120557,10153701,10181017,10208991,10230068,10256774,10285998,10312999,10340505,10365999,10387931
1,서울특별시  (1100000000),1948034,1952944,1957132,1960350,1963916,1966589,1970424,1974781,1979085,1982950,1986217,1988427
2,부산광역시  (2600000000),755812,757413,758748,759793,761140,762178,763166,764592,765800,767860,768717,769407
3,대구광역시  (2700000000),494671,495735,497336,498318,499215,500101,501203,502268,502722,504207,505449,506689
4,인천광역시  (2800000000),548109,550183,552113,554016,555824,557030,558723,560520,562151,563765,565237,566582
5,광주광역시  (2900000000),257026,257735,258437,258988,260047,260703,261633,262355,263152,263910,264649,265103
6,대전광역시  (3000000000),279015,279915,280958,281789,282616,283314,284050,284933,285675,286499,287101,287535
7,울산광역시  (3100000000),219900,220795,221671,222331,223053,223620,224331,225073,225703,226437,227470,227904
8,세종특별자치시  (3600000000),24869,25175,25396,25669,25955,26152,26349,26650,27019,27505,28117,28936
9,경기도  (4100000000),2245603,2255412,2265237,2273220,2281337,2288355,2296823,2305633,2313669,2321830,2329206,2335268
10,강원도  (4200000000),342784,343661,344761,345862,346813,347448,348304,349250,350125,350894,351690,352388
11,충청북도  (4300000000),325465,326611,327814,328952,330016,330784,331633,332594,333520,334377,335164,335909
12,충청남도  (4400000000),426349,427923,429485,430944,432459,433227,434346,435593,436649,437751,438929,439673
13,전라북도  (4500000000),400097,400928,402060,403048,403958,404576,405524,406594,407413,408234,409067,409813
14,전라남도  (4600000000),437462,438482,439787,440829,441517,441995,442694,443486,444076,444929,445802,446777
15,경상북도  (4700000000),598696,600327,602356,603839,605216,606216,607476,608936,611060,611723,612980,614374
16,경상남도  (4800000000),668546,670687,673338,675431,677719,679105,680900,683002,684908,686822,688938,691420
17,제주특별자치도  (5000000000),116072,116631,117072,117638,118190,118675,119195,119738,120272,120812,121266,121726
