,area,woman_01,woman_02,woman_03,woman_04,woman_05,woman_06,woman_07,woman_08,woman_09,woman_10,woman_11,woman_12
0,전국  (0000000000),7086796,7120451,7156170,7182785,7208954,7239817,7264739,7294373,7324683,7354936,7382794,7411664
1,서울특별시  (1100000000),1372563,1378879,1384839,1388668,1392480,1396669,1400122,1404510,1408750,1412788,1416757,1420643
2,부산광역시  (2600000000),562929,565289,567725,569766,571512,574013,576064,578171,580350,582551,584651,586688
3,대구광역시  (2700000000),347687,349235,350925,352262,353476,354765,355856,357127,358496,359989,361290,362661
4,인천광역시  (2800000000),347085,349333,351702,353618,355428,357399,359153,361270,363234,365130,366901,368698
5,광주광역시  (2900000000),177815,178683,179568,180192,180853,181789,182499,183186,184021,184807,185576,186105
6,대전광역시  (3000000000),183127,184123,185168,185845,186620,187381,188014,188836,189659,190500,191289,192094
7,울산광역시  (3100000000),125717,126503,127473,128179,128791,129476,130099,130813,131555,132465,133268,133944
8,세종특별자치시  (3600000000),20094,20451,20827,21119,21419,21678,22007,22328,22653,22969,23262,23625
9,경기도  (4100000000),1408121,1416836,1426691,1433962,1441190,1450056,1457318,1465554,1474097,1482651,1490929,1499072
10,강원도  (4200000000),260185,261326,262497,263371,264268,265356,266092,267032,268010,269030,269875,270883
11,충청북도  (4300000000),236992,237986,239030,239754,240539,241669,242289,243090,243972,244805,245625,246659
12,충청남도  (4400000000),321364,322756,324230,325380,326478,327509,328507,329705,330865,331902,332882,334046
13,전라북도  (4500000000),316769,317855,319105,320046,320994,322094,322920,323977,325062,326198,327116,328075
14,전라남도  (4600000000),360787,361588,362374,363070,363935,365138,365979,367005,368045,369022,369669,370596
15,경상북도  (4700000000),473131,474674,476374,477580,478866,480436,481620,483124,484527,486080,487531,489051
16,경상남도  (4800000000),487230,489427,491699,493802,495525,497269,498689,500669,502955,505076,506828,509102
17,제주특별자치도  (5000000000),85200,85507,85943,86171,86580,87120,87511,87976,88432,88973,89345,89722
