"행정구역","2012년10월_계_총인구수","2012년10월_계_연령구간인구수","2012년10월_계_45~49세","2012년10월_계_50~54세","2012년10월_계_55~59세","2012년10월_계_60~64세","2012년10월_계_65~69세","2012년10월_계_70~74세","2012년10월_계_75~79세","2012년10월_계_80~84세","2012년10월_계_85~89세","2012년10월_계_90~94세","2012년10월_계_95~99세","2012년10월_계_100세 이상","2012년10월_남_총인구수","2012년10월_남_연령구간인구수","2012년10월_남_45~49세","2012년10월_남_50~54세","2012년10월_남_55~59세","2012년10월_남_60~64세","2012년10월_남_65~69세","2012년10월_남_70~74세","2012년10월_남_75~79세","2012년10월_남_80~84세","2012년10월_남_85~89세","2012년10월_남_90~94세","2012년10월_남_95~99세","2012년10월_남_100세 이상","2012년10월_여_총인구수","2012년10월_여_연령구간인구수","2012년10월_여_45~49세","2012년10월_여_50~54세","2012년10월_여_55~59세","2012년10월_여_60~64세","2012년10월_여_65~69세","2012년10월_여_70~74세","2012년10월_여_75~79세","2012년10월_여_80~84세","2012년10월_여_85~89세","2012년10월_여_90~94세","2012년10월_여_95~99세","2012년10월_여_100세 이상","2012년11월_계_총인구수","2012년11월_계_연령구간인구수","2012년11월_계_45~49세","2012년11월_계_50~54세","2012년11월_계_55~59세","2012년11월_계_60~64세","2012년11월_계_65~69세","2012년11월_계_70~74세","2012년11월_계_75~79세","2012년11월_계_80~84세","2012년11월_계_85~89세","2012년11월_계_90~94세","2012년11월_계_95~99세","2012년11월_계_100세 이상","2012년11월_남_총인구수","2012년11월_남_연령구간인구수","2012년11월_남_45~49세","2012년11월_남_50~54세","2012년11월_남_55~59세","2012년11월_남_60~64세","2012년11월_남_65~69세","2012년11월_남_70~74세","2012년11월_남_75~79세","2012년11월_남_80~84세","2012년11월_남_85~89세","2012년11월_남_90~94세","2012년11월_남_95~99세","2012년11월_남_100세 이상","2012년11월_여_총인구수","2012년11월_여_연령구간인구수","2012년11월_여_45~49세","2012년11월_여_50~54세","2012년11월_여_55~59세","2012년11월_여_60~64세","2012년11월_여_65~69세","2012년11월_여_70~74세","2012년11월_여_75~79세","2012년11월_여_80~84세","2012년11월_여_85~89세","2012년11월_여_90~94세","2012년11월_여_95~99세","2012년11월_여_100세 이상","2012년12월_계_총인구수","2012년12월_계_연령구간인구수","2012년12월_계_45~49세","2012년12월_계_50~54세","2012년12월_계_55~59세","2012년12월_계_60~64세","2012년12월_계_65~69세","2012년12월_계_70~74세","2012년12월_계_75~79세","2012년12월_계_80~84세","2012년12월_계_85~89세","2012년12월_계_90~94세","2012년12월_계_95~99세","2012년12월_계_100세 이상","2012년12월_남_총인구수","2012년12월_남_연령구간인구수","2012년12월_남_45~49세","2012년12월_남_50~54세","2012년12월_남_55~59세","2012년12월_남_60~64세","2012년12월_남_65~69세","2012년12월_남_70~74세","2012년12월_남_75~79세","2012년12월_남_80~84세","2012년12월_남_85~89세","2012년12월_남_90~94세","2012년12월_남_95~99세","2012년12월_남_100세 이상","2012년12월_여_총인구수","2012년12월_여_연령구간인구수","2012년12월_여_45~49세","2012년12월_여_50~54세","2012년12월_여_55~59세","2012년12월_여_60~64세","2012년12월_여_65~69세","2012년12월_여_70~74세","2012년12월_여_75~79세","2012년12월_여_80~84세","2012년12월_여_85~89세","2012년12월_여_90~94세","2012년12월_여_95~99세","2012년12월_여_100세 이상"
"전국  (0000000000)","50,912,264","20,289,973","4,197,789","4,385,855","3,347,085","2,419,436","1,898,859","1,761,279","1,184,891","654,454","297,628","104,874","25,283","12,540","25,488,080","9,662,800","2,146,911","2,215,319","1,669,110","1,185,519","892,152","772,814","461,024","206,706","80,250","24,982","5,125","2,888","25,424,184","10,627,173","2,050,878","2,170,536","1,677,975","1,233,917","1,006,707","988,465","723,867","447,748","217,378","79,892","20,158","9,652","50,930,805","20,338,149","4,190,365","4,399,295","3,367,264","2,424,540","1,897,782","1,769,624","1,189,527","657,240","299,155","105,436","25,348","12,573","25,496,262","9,686,167","2,141,733","2,222,818","1,679,405","1,187,982","892,204","776,649","463,594","208,037","80,608","25,102","5,135","2,900","25,434,543","10,651,982","2,048,632","2,176,477","1,687,859","1,236,558","1,005,578","992,975","725,933","449,203","218,547","80,334","20,213","9,673","50,948,272","20,396,644","4,196,411","4,405,468","3,386,102","2,428,603","1,899,933","1,774,343","1,196,000","663,632","301,459","106,586","25,450","12,657","25,504,060","9,714,538","2,143,613","2,226,268","1,689,298","1,189,791","893,794","779,224","467,062","210,864","81,249","25,325","5,142","2,908","25,444,212","10,682,106","2,052,798","2,179,200","1,696,804","1,238,812","1,006,139","995,119","728,938","452,768","220,210","81,261","20,308","9,749"
"서울특별시  (1100000000)","10,212,445","3,993,398","811,526","862,953","708,287","513,452","401,076","323,379","191,236","103,523","49,711","19,047","5,357","3,851","5,050,639","1,891,713","405,386","420,505","340,533","247,435","191,336","152,262","78,889","34,366","13,718","5,048","1,253","982","5,161,806","2,101,685","406,140","442,448","367,754","266,017","209,740","171,117","112,347","69,157","35,993","13,999","4,104","2,869","10,205,843","3,998,876","809,615","863,679","710,897","513,853","401,075","325,196","192,250","103,971","49,969","19,114","5,369","3,888","5,047,103","1,894,387","404,299","421,079","341,855","247,491","191,258","153,150","79,551","34,570","13,829","5,065","1,254","986","5,158,740","2,104,489","405,316","442,600","369,042","266,362","209,817","172,046","112,699","69,401","36,140","14,049","4,115","2,902","10,195,318","4,005,596","809,739","862,811","713,525","513,938","401,794","326,428","193,611","104,821","50,315","19,298","5,390","3,926","5,041,336","1,897,535","404,264","420,674","343,207","247,439","191,499","153,800","80,347","35,037","13,915","5,098","1,259","996","5,153,982","2,108,061","405,475","442,137","370,318","266,499","210,295","172,628","113,264","69,784","36,400","14,200","4,131","2,930"
"부산광역시  (2600000000)","3,540,098","1,566,041","287,282","338,880","287,799","213,685","155,841","132,270","80,348","42,990","18,536","5,764","1,473","1,173","1,755,498","735,022","141,218","164,060","140,426","104,053","74,728","59,433","31,580","13,238","4,488","1,264","278","256","1,784,600","831,019","146,064","174,820","147,373","109,632","81,113","72,837","48,768","29,752","14,048","4,500","1,195","917","3,539,273","1,568,725","286,195","339,210","288,981","214,410","155,898","133,007","80,734","43,133","18,700","5,807","1,475","1,175","1,755,039","736,279","140,618","164,235","141,000","104,411","74,773","59,779","31,790","13,329","4,532","1,275","282","255","1,784,234","832,446","145,577","174,975","147,981","109,999","81,125","73,228","48,944","29,804","14,168","4,532","1,193","920","3,538,484","1,572,196","286,169","339,007","289,914","214,907","156,443","133,545","81,272","43,465","18,917","5,895","1,479","1,183","1,754,479","737,779","140,591","164,027","141,528","104,575","75,014","60,041","32,074","13,515","4,575","1,301","282","256","1,784,005","834,417","145,578","174,980","148,386","110,332","81,429","73,504","49,198","29,950","14,342","4,594","1,197","927"
"대구광역시  (2700000000)","2,507,571","1,013,239","218,831","224,595","170,988","126,761","89,821","82,798","54,076","28,243","12,002","3,846","872","406","1,250,263","475,042","108,481","111,077","83,806","60,863","41,195","35,601","20,967","8,818","3,184","811","157","82","1,257,308","538,197","110,350","113,518","87,182","65,898","48,626","47,197","33,109","19,425","8,818","3,035","715","324","2,507,910","1,015,642","218,294","225,528","171,730","127,235","89,610","83,296","54,296","28,422","12,085","3,848","887","411","1,250,472","476,171","108,158","111,539","84,194","61,097","41,110","35,863","21,050","8,883","3,219","811","165","82","1,257,438","539,471","110,136","113,989","87,536","66,138","48,500","47,433","33,246","19,539","8,866","3,037","722","329","2,505,644","1,018,103","218,113","225,835","172,285","127,718","89,825","83,681","54,550","28,719","12,212","3,868","880","417","1,249,320","477,342","108,017","111,678","84,547","61,288","41,231","36,065","21,207","8,987","3,261","814","164","83","1,256,324","540,761","110,096","114,157","87,738","66,430","48,594","47,616","33,343","19,732","8,951","3,054","716","334"
"인천광역시  (2800000000)","2,836,080","1,071,504","251,647","259,356","179,279","116,617","89,459","75,994","50,264","28,849","13,576","4,825","1,127","511","1,427,719","519,673","127,501","133,087","91,327","58,742","42,757","33,169","19,088","8,719","3,619","1,281","250","133","1,408,361","551,831","124,146","126,269","87,952","57,875","46,702","42,825","31,176","20,130","9,957","3,544","877","378","2,840,308","1,075,314","251,393","260,522","180,713","116,979","89,527","76,430","50,620","28,937","13,698","4,845","1,137","513","1,429,856","521,451","127,287","133,635","91,992","58,998","42,819","33,345","19,303","8,758","3,650","1,281","250","133","1,410,452","553,863","124,106","126,887","88,721","57,981","46,708","43,085","31,317","20,179","10,048","3,564","887","380","2,843,981","1,079,286","251,593","261,252","182,204","117,178","89,855","76,637","50,974","29,237","13,789","4,897","1,158","512","1,431,593","523,200","127,264","133,966","92,667","59,134","43,013","33,449","19,489","8,886","3,653","1,292","255","132","1,412,388","556,086","124,329","127,286","89,537","58,044","46,842","43,188","31,485","20,351","10,136","3,605","903","380"
"광주광역시  (2900000000)","1,469,614","521,601","119,288","114,586","81,569","62,690","48,065","42,597","27,049","15,361","7,000","2,545","581","270","728,516","244,515","59,828","56,368","39,744","29,974","22,506","18,661","10,326","4,754","1,790","453","74","37","741,098","277,086","59,460","58,218","41,825","32,716","25,559","23,936","16,723","10,607","5,210","2,092","507","233","1,470,669","523,588","119,482","114,987","82,200","62,814","48,245","42,871","27,153","15,378","7,047","2,565","579","267","729,100","245,536","59,924","56,621","40,042","30,033","22,625","18,773","10,381","4,758","1,818","456","70","35","741,569","278,052","59,558","58,366","42,158","32,781","25,620","24,098","16,772","10,620","5,229","2,109","509","232","1,469,216","525,001","119,678","115,124","82,588","62,879","48,397","43,021","27,320","15,460","7,100","2,591","576","267","728,406","246,273","60,018","56,712","40,239","30,084","22,658","18,868","10,487","4,798","1,837","469","69","34","740,810","278,728","59,660","58,412","42,349","32,795","25,739","24,153","16,833","10,662","5,263","2,122","507","233"
"대전광역시  (3000000000)","1,523,647","554,825","123,665","129,162","95,495","64,573","46,743","41,611","27,773","15,378","7,172","2,417","609","227","763,214","265,672","62,231","64,414","47,842","32,084","22,188","18,407","10,847","4,882","1,965","625","138","49","760,433","289,153","61,434","64,748","47,653","32,489","24,555","23,204","16,926","10,496","5,207","1,792","471","178","1,524,566","556,532","123,537","129,537","96,291","64,786","46,759","41,804","27,892","15,447","7,224","2,417","615","223","763,776","266,513","62,132","64,609","48,249","32,175","22,218","18,519","10,891","4,934","1,974","624","138","50","760,790","290,019","61,405","64,928","48,042","32,611","24,541","23,285","17,001","10,513","5,250","1,793","477","173","1,524,583","558,416","123,937","129,655","96,883","64,962","46,849","41,868","28,060","15,660","7,247","2,454","616","225","763,671","267,406","62,288","64,719","48,508","32,237","22,317","18,528","11,005","4,990","1,998","626","140","50","760,912","291,010","61,649","64,936","48,375","32,725","24,532","23,340","17,055","10,670","5,249","1,828","476","175"
"울산광역시  (3100000000)","1,145,096","419,514","106,741","105,720","74,493","47,696","30,335","24,864","15,439","8,542","4,004","1,279","303","98","589,212","208,260","55,158","54,704","38,431","24,851","15,042","11,100","5,624","2,304","761","220","51","14","555,884","211,254","51,583","51,016","36,062","22,845","15,293","13,764","9,815","6,238","3,243","1,059","252","84","1,146,555","421,050","106,541","106,259","75,124","47,904","30,368","25,051","15,517","8,585","4,015","1,290","297","99","590,055","209,019","55,015","55,019","38,737","24,945","15,071","11,205","5,642","2,340","759","223","49","14","556,500","212,031","51,526","51,240","36,387","22,959","15,297","13,846","9,875","6,245","3,256","1,067","248","85","1,147,256","422,673","106,686","106,492","75,651","48,108","30,532","25,179","15,593","8,701","4,025","1,308","296","102","590,424","209,794","55,005","55,210","38,997","25,021","15,180","11,292","5,664","2,384","757","224","46","14","556,832","212,879","51,681","51,282","36,654","23,087","15,352","13,887","9,929","6,317","3,268","1,084","250","88"
"세종특별자치시  (3600000000)","109,823","46,803","7,898","8,860","7,335","5,646","4,517","5,053","3,830","2,208","997","335","87","37","55,913","22,500","4,296","4,693","3,805","2,783","2,091","2,188","1,534","700","297","82","16","15","53,910","24,303","3,602","4,167","3,530","2,863","2,426","2,865","2,296","1,508","700","253","71","22","111,191","47,093","7,950","8,958","7,394","5,672","4,524","5,066","3,835","2,232","995","345","84","38","56,596","22,633","4,313","4,758","3,824","2,791","2,097","2,196","1,543","707","291","83","15","15","54,595","24,460","3,637","4,200","3,570","2,881","2,427","2,870","2,292","1,525","704","262","69","23","113,117","47,501","8,075","9,046","7,474","5,692","4,556","5,064","3,850","2,263","1,007","352","83","39","57,633","22,857","4,385","4,813","3,874","2,808","2,109","2,195","1,542","724","289","88","14","16","55,484","24,644","3,690","4,233","3,600","2,884","2,447","2,869","2,308","1,539","718","264","69","23"
"경기도  (4100000000)","12,060,335","4,345,778","1,045,187","1,012,243","698,855","463,714","370,979","330,756","220,953","120,217","55,624","20,192","4,796","2,262","6,076,566","2,119,377","539,873","525,027","356,369","228,609","173,913","146,021","87,740","39,262","15,581","5,317","1,053","612","5,983,769","2,226,401","505,314","487,216","342,486","235,105","197,066","184,735","133,213","80,955","40,043","14,875","3,743","1,650","12,071,878","4,360,464","1,043,869","1,017,032","704,717","464,824","371,600","332,071","222,079","120,925","55,935","20,312","4,815","2,285","6,080,869","2,126,304","538,554","527,557","359,421","229,233","174,287","146,633","88,360","39,626","15,611","5,343","1,065","614","5,991,009","2,234,160","505,315","489,475","345,296","235,591","197,313","185,438","133,719","81,299","40,324","14,969","3,750","1,671","12,093,299","4,379,212","1,046,279","1,020,950","710,465","466,276","372,403","332,927","223,672","122,147","56,458","20,480","4,856","2,299","6,091,035","2,135,247","539,158","529,654","362,433","229,929","174,784","147,104","89,179","40,169","15,770","5,387","1,067","613","6,002,264","2,243,965","507,121","491,296","348,032","236,347","197,619","185,823","134,493","81,978","40,688","15,093","3,789","1,686"
